Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Market Capitalization,6,7,28,31,46,80,67,57,63,169,210,Upgrade
Market Cap Growth,-,-76.40%,-10.29%,-33.25%,-42.59%,20.76%,16.82%,-9.44%,-62.81%,-19.51%,40.86%,Upgrade
Enterprise Value,7,7,28,31,46,80,66,55,61,100,127,Upgrade
PE Ratio,-0.11,-0.10,-3.74,-1.34,-0.71,4.05,2.54,-2.31,-4.45,10.59,4.17,Upgrade
PS Ratio,-0.56,-0.65,4.38,8.44,25.79,23.19,42.52,64.91,29.96,69.57,173.91,Upgrade
PB Ratio,0.23,0.21,0.29,0.30,0.36,0.42,0.38,0.38,0.36,0.81,0.82,Upgrade
P/FCF Ratio,-107.71,1916.25,-37916.54,15.40,-,37.60,-91.73,17.97,-1.30,3.45,-3.27,Upgrade
P/OCF Ratio,-107.71,1916.25,-37916.54,15.40,-,37.60,-91.73,17.97,-1.30,3.45,-3.27,Upgrade
EV/Sales Ratio,-0.56,-0.65,4.37,8.44,25.79,23.19,42.45,62.71,29.12,41.19,105.09,Upgrade
EV/EBITDA Ratio,-0.11,-0.10,-3.74,-2.04,-0.57,2.84,2.54,-2.23,-4.32,6.27,2.52,Upgrade
EV/EBIT Ratio,-0.11,-0.10,-3.74,-2.04,-0.57,2.84,2.54,-2.23,-4.32,6.27,2.52,Upgrade
EV/FCF Ratio,-107.71,1916.25,-37916.54,15.40,-,37.60,-91.58,17.36,-1.27,2.04,-1.98,Upgrade
Asset Turnover,-0.26,-0.16,0.06,0.04,0.01,0.02,0.01,0.01,0.01,0.01,0.01,Upgrade
Return on Equity (ROE),-170.10%,-124.40%,-7.20%,-24.30%,-41.30%,10.30%,17.40%,-15.50%,-7.70%,6.60%,22.60%,Upgrade
Return on Assets (ROA),-134.90%,-105.70%,-6.70%,-23.00%,-39.20%,9.40%,17.20%,-14.80%,-7.60%,6.00%,22.20%,Upgrade
Return on Capital (ROIC),-134.90%,-105.70%,-6.70%,-15.20%,-49.10%,13.40%,17.40%,-15.80%,-7.70%,7.70%,45.00%,Upgrade
Earnings Yield,-1038.07%,-983.38%,-26.73%,-74.47%,-139.79%,24.72%,39.32%,-43.27%,-22.49%,9.45%,23.96%,Upgrade
FCF Yield,-1.03%,0.05%,-0.00%,6.49%,-,2.66%,-1.09%,5.57%,-76.67%,28.96%,-30.58%,Upgrade
Dividend Yield,-,-,-,-,0.30%,-,-,-,31.42%,1.37%,Upgrade,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,1.20%,0.00%,0.00%,0.00%,331.10%,5.50%,Upgrade
Buyback Yield / Dilution,5.60%,-,-,3.98%,-,3.39%,-,3.53%,15.09%,-,-6.03%,Upgrade
Total Shareholder Return,5.60%,-,-,3.98%,-,3.69%,-,3.53%,15.09%,31.42%,-4.66%,Upgrade
