Year,Current,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 1996
Market Capitalization,91,167,155,114,165,211,161,95,101,77,59,Upgrade
Market Cap Growth,-,8.12%,35.87%,-31.04%,-21.60%,30.97%,70.26%,-6.52%,31.20%,29.92%,16.81%,Upgrade
Enterprise Value,126,-44,-81,102,229,196,126,65,68,34,-30,Upgrade
PE Ratio,4.79,7.67,14.79,7.24,9.57,20.58,21.74,14.87,22.52,3.97,22.53,Upgrade
PS Ratio,1.37,2.58,3.12,2.01,2.84,3.93,3.68,2.38,2.71,2.12,1.59,Upgrade
PB Ratio,0.58,1.07,1.02,0.77,1.24,1.80,1.45,0.87,0.97,0.79,0.76,Upgrade
P/FCF Ratio,5.25,10.06,7.51,8.74,8.23,18.71,9.08,8.25,9.55,5.91,3.51,Upgrade
P/OCF Ratio,4.12,10.17,6.41,7.16,8.20,17.66,8.91,8.53,18.18,11.80,5.39,Upgrade
EV/Sales Ratio,1.95,-0.68,-1.63,1.79,3.93,3.65,2.88,1.63,1.82,0.94,-0.80,Upgrade
EV/EBITDA Ratio,4.51,-1.39,-4.86,4.32,9.09,9.35,9.30,5.24,6.84,5.45,-6.60,Upgrade
EV/EBIT Ratio,5.04,-1.57,-6.02,4.94,10.20,10.87,11.66,6.63,10.23,7.83,-11.25,Upgrade
EV/FCF Ratio,7.48,-2.66,-3.93,7.80,11.38,17.36,7.10,5.66,6.41,2.61,-1.77,Upgrade
Debt / Equity Ratio,0.41,0.19,0.20,0.20,0.65,0.25,0.27,0.24,0.25,0.26,0.33,Upgrade
Debt / EBITDA Ratio,2.21,0.93,1.78,1.26,3.43,1.41,2.18,2.08,2.56,4.09,5.76,Upgrade
Debt / FCF Ratio,3.67,1.78,1.44,2.28,4.29,2.62,1.67,2.25,2.40,1.96,1.55,Upgrade
Asset Turnover,0.04,0.04,0.03,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),12.60%,13.70%,7.00%,10.90%,13.70%,8.80%,6.70%,6.00%,4.40%,22.80%,3.50%,Upgrade
Return on Assets (ROA),1.10%,1.30%,0.70%,1.30%,1.50%,0.90%,0.70%,0.70%,0.50%,2.40%,0.30%,Upgrade
Return on Capital (ROIC),1.60%,2.00%,1.10%,1.80%,2.00%,1.60%,1.10%,1.20%,0.80%,0.60%,0.40%,Upgrade
Earnings Yield,21.71%,13.03%,6.76%,13.82%,10.45%,4.86%,4.60%,6.73%,4.44%,25.20%,4.44%,Upgrade
FCF Yield,19.03%,9.94%,13.31%,11.45%,12.15%,5.34%,11.01%,12.13%,10.47%,16.92%,28.46%,Upgrade
Dividend Yield,5.71%,2.79%,3.60%,3.59%,1.92%,1.03%,1.12%,1.88%,-,-,-,Upgrade
Payout Ratio,26.40%,21.40%,53.20%,26.10%,18.40%,21.30%,24.20%,24.30%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,2.99%,0.39%,1.90%,-0.37%,-0.16%,-0.33%,-0.24%,-0.28%,-0.28%,-0.12%,-0.11%,Upgrade
Total Shareholder Return,8.75%,3.18%,5.50%,3.22%,1.76%,0.70%,0.88%,1.60%,-0.28%,-0.12%,-0.11%,Upgrade
