Year,Current,2022,2021
Market Capitalization,297,292,283
Market Cap Growth,-,3.25%,-
Enterprise Value,297,292,282
PE Ratio,21.50,21.18,24.33
PB Ratio,-34.23,-34.23,-13.77
P/FCF Ratio,-188.71,-188.71,-251.04
P/OCF Ratio,-188.71,-188.71,-251.04
EV/EBITDA Ratio,20.57,20.25,24.25
EV/EBIT Ratio,20.57,20.25,24.25
EV/FCF Ratio,-188.69,-188.69,-250.17
Debt / Equity Ratio,-0.02,-0.02,-
Debt / EBITDA Ratio,0.01,0.01,-
Debt / FCF Ratio,-0.11,-0.11,-
Current Ratio,0.88,0.88,4.14
Return on Equity (ROE),-129.30%,-129.30%,-224.60%
Return on Assets (ROA),5.80%,5.80%,19.60%
Return on Capital (ROIC),6.10%,6.10%,19.70%
Earnings Yield,4.65%,4.72%,4.11%
FCF Yield,-0.52%,-0.53%,-0.40%
Buyback Yield / Dilution,-189.66%,-189.66%,-
Total Shareholder Return,-189.66%,-189.66%,-
