Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,598,689,582,628,"1,095","1,390","1,134","1,247",961,745,728,Upgrade
Market Cap Growth,-,18.53%,-7.43%,-42.60%,-21.26%,22.60%,-9.06%,29.79%,29.01%,2.28%,31.16%,Upgrade
Enterprise Value,594,643,500,590,974,"1,326","1,038","1,158",854,654,636,Upgrade
PE Ratio,-53.03,45.87,7.22,-5.57,73.86,50.28,22.22,24.99,10.78,12.59,9.56,Upgrade
PS Ratio,0.60,0.70,0.55,0.59,0.91,1.30,1.08,1.25,1.07,0.79,0.83,Upgrade
PB Ratio,0.79,0.93,0.66,0.76,1.20,1.57,1.17,1.32,1.09,0.91,0.93,Upgrade
P/FCF Ratio,796.15,-37.43,-9.00,4.64,23.54,18.04,7.41,6.03,5.33,5.20,4.76,Upgrade
P/OCF Ratio,199.57,-42.34,-11.48,4.08,13.87,12.63,6.67,5.82,5.06,4.92,4.51,Upgrade
EV/Sales Ratio,0.59,0.66,0.47,0.55,0.81,1.24,0.99,1.16,0.95,0.69,0.73,Upgrade
EV/EBITDA Ratio,-61.61,28.02,4.69,-3.62,34.70,61.90,39.37,18.00,6.80,7.85,5.91,Upgrade
EV/EBIT Ratio,-34.23,42.11,4.99,-3.48,57.70,81.61,47.62,19.86,7.17,8.55,6.24,Upgrade
EV/FCF Ratio,791.85,-34.90,-7.73,4.36,20.94,17.21,6.79,5.60,4.74,4.57,4.16,Upgrade
Debt / Equity Ratio,0.07,0.07,0.06,0.06,-,-,-,-,-,-,-,Upgrade
Debt / EBITDA Ratio,-4.62,2.18,0.47,-0.31,-,-,-,-,-,-,-,Upgrade
Debt / FCF Ratio,66.67,-2.71,-0.77,0.37,-,-,-,-,-,-,-,Upgrade
Asset Turnover,0.35,0.34,0.35,0.35,0.40,0.38,0.25,0.25,0.23,0.25,0.24,Upgrade
Return on Equity (ROE),-1.70%,2.00%,9.60%,-13.50%,1.60%,3.00%,5.30%,5.30%,10.50%,7.30%,10.10%,Upgrade
Return on Assets (ROA),-0.40%,0.50%,2.70%,-3.70%,0.50%,1.00%,1.20%,1.20%,2.30%,1.50%,2.00%,Upgrade
Return on Capital (ROIC),-0.70%,0.50%,3.40%,-5.80%,0.60%,0.60%,0.50%,1.50%,3.20%,2.10%,2.80%,Upgrade
Earnings Yield,-2.11%,2.18%,13.86%,-17.94%,1.35%,1.99%,4.50%,4.00%,9.28%,7.94%,10.46%,Upgrade
FCF Yield,0.13%,-2.67%,-11.12%,21.53%,4.25%,5.54%,13.49%,16.58%,18.77%,19.22%,21.02%,Upgrade
Dividend Yield,2.69%,2.30%,2.59%,4.54%,2.99%,7.57%,2.41%,1.97%,2.24%,2.64%,2.40%,Upgrade
Payout Ratio,-128.00%,105.00%,18.70%,-25.30%,220.30%,379.30%,53.70%,49.20%,24.20%,33.30%,22.90%,Upgrade
Buyback Yield / Dilution,-0.70%,-0.42%,-0.26%,0.44%,-0.53%,0.39%,0.92%,-1.15%,0.73%,0.37%,0.48%,Upgrade
Total Shareholder Return,2.01%,1.88%,2.33%,4.98%,2.46%,7.96%,3.33%,0.82%,2.97%,3.02%,2.88%,Upgrade
