Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Market Capitalization,139,182,157,106,129,101,124,103,92,47,46,Upgrade
Market Cap Growth,-,15.47%,48.42%,-17.81%,27.05%,-18.42%,20.27%,13.03%,95.36%,2.36%,16.04%,Upgrade
Enterprise Value,222,177,29,44,173,127,144,121,71,44,66,Upgrade
PE Ratio,9.08,11.64,9.69,9.00,11.75,11.65,20.06,15.59,11.12,20.12,11.67,Upgrade
PS Ratio,2.59,3.36,2.98,2.44,3.04,2.51,3.23,2.82,2.41,1.85,1.91,Upgrade
PB Ratio,1.05,1.42,1.15,0.85,1.13,0.98,1.28,1.10,1.01,0.46,0.63,Upgrade
P/FCF Ratio,5.69,6.83,9.84,11.23,10.50,8.54,15.07,10.36,12.52,20.74,5.01,Upgrade
P/OCF Ratio,5.58,6.62,8.71,7.68,9.00,7.64,12.19,9.17,11.31,10.61,4.72,Upgrade
EV/Sales Ratio,4.12,3.28,0.55,1.00,4.07,3.16,3.74,3.31,1.87,1.75,2.75,Upgrade
EV/EBITDA Ratio,10.99,8.54,1.32,2.78,11.56,10.55,13.64,11.65,5.44,11.12,11.55,Upgrade
EV/EBIT Ratio,11.95,9.26,1.42,3.06,12.94,12.23,15.79,13.14,6.01,15.02,13.60,Upgrade
EV/FCF Ratio,9.06,6.66,1.82,4.62,14.06,10.73,17.44,12.14,9.69,19.54,7.19,Upgrade
Debt / Equity Ratio,1.00,0.36,0.35,0.25,0.63,0.82,0.70,0.57,0.46,0.33,0.46,Upgrade
Debt / EBITDA Ratio,6.56,2.22,2.17,2.01,4.77,6.99,6.45,5.12,3.18,8.42,5.87,Upgrade
Debt / FCF Ratio,5.40,1.74,2.99,3.34,5.80,7.11,8.25,5.33,5.67,14.79,3.66,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),11.80%,12.30%,12.30%,9.80%,10.00%,8.70%,6.40%,7.10%,8.20%,2.90%,5.50%,Upgrade
Return on Assets (ROA),1.00%,1.00%,1.10%,0.90%,1.00%,0.80%,0.60%,0.70%,0.90%,0.30%,0.70%,Upgrade
Return on Capital (ROIC),1.20%,1.30%,1.50%,1.20%,1.20%,0.90%,0.90%,1.00%,1.40%,0.40%,0.80%,Upgrade
Earnings Yield,10.81%,8.59%,10.32%,11.11%,8.51%,8.59%,4.99%,6.41%,8.99%,4.97%,8.57%,Upgrade
FCF Yield,17.56%,14.64%,10.16%,8.90%,9.52%,11.71%,6.63%,9.66%,7.99%,4.82%,19.96%,Upgrade
Dividend Yield,2.67%,2.55%,2.20%,3.11%,2.43%,3.07%,2.50%,2.98%,3.33%,4.22%,4.19%,Upgrade
Payout Ratio,30.20%,29.10%,21.00%,27.50%,28.40%,35.60%,49.80%,46.10%,36.80%,84.80%,48.70%,Upgrade
Buyback Yield / Dilution,-0.81%,-1.06%,-0.65%,-2.20%,-0.50%,-0.22%,-0.91%,-0.95%,-54.28%,-3.15%,-1.21%,Upgrade
Total Shareholder Return,1.86%,1.49%,1.55%,0.91%,1.92%,2.85%,1.59%,2.02%,-50.94%,1.07%,2.98%,Upgrade
