Year,Current,2022,2021
Market Capitalization,86,192,189
Market Cap Growth,-,1.75%,-
Enterprise Value,86,191,188
PE Ratio,145.00,64.36,86.39
PB Ratio,-13.30,-31.11,-23.97
P/FCF Ratio,-61.06,20.88,-276.31
P/OCF Ratio,-61.06,20.88,-276.31
EV/EBITDA Ratio,44.05,57.51,85.75
EV/EBIT Ratio,44.05,57.51,85.75
EV/FCF Ratio,-60.77,20.79,-274.26
Current Ratio,0.37,0.09,6.05
Return on Equity (ROE),-27.50%,-54.10%,-56.60%
Return on Assets (ROA),1.50%,2.40%,2.90%
Return on Capital (ROIC),2.00%,2.70%,2.90%
Earnings Yield,1.77%,1.55%,1.16%
FCF Yield,-1.62%,4.79%,-0.36%
Buyback Yield / Dilution,56.35%,-83.18%,-
Total Shareholder Return,56.35%,-83.18%,-
