Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,32,43,50,22,52,124,195,87,107,187
Market Cap Growth,-,-14.09%,129.67%,-57.83%,-58.12%,-36.25%,123.83%,-18.77%,-42.69%,-
Enterprise Value,103,84,108,76,108,82,161,-7,-30,154
PE Ratio,-1.27,-1.32,-1.09,-0.09,-1.72,24.89,-10.60,-36.29,-89.95,-4.02
PS Ratio,0.05,0.07,0.13,0.08,0.18,0.64,2.39,1.29,1.82,10.80
PB Ratio,-0.15,-0.16,-0.21,-0.11,1.25,1.90,6.45,2.33,3.33,12.47
P/FCF Ratio,1.47,1.56,3.39,0.79,-10.16,-36.68,12.28,1.11,4.72,-6.54
P/OCF Ratio,0.79,1.03,2.42,0.68,2.10,5.77,10.02,1.02,4.32,-7.45
EV/Sales Ratio,0.15,0.13,0.28,0.26,0.38,0.42,1.97,-0.10,-0.51,8.90
EV/EBITDA Ratio,1.67,1.38,3.13,-0.44,5.17,5.85,-28.67,15.80,-17.90,-3.40
EV/EBIT Ratio,4.39,3.78,-21.92,-0.34,-10.52,106.06,-18.81,4.32,-34.24,-3.37
EV/FCF Ratio,4.71,3.01,7.29,2.76,-21.10,-24.36,10.14,-0.09,-1.32,-5.39
Debt / Equity Ratio,-0.51,-0.45,-0.54,-0.69,2.67,0.27,0.39,-,-,-
Debt / EBITDA Ratio,2.33,2.01,3.79,-0.79,5.28,1.26,-2.09,-,-,-
Debt / FCF Ratio,6.56,4.40,8.81,4.97,-21.58,-5.25,0.74,-,-,-
Current Ratio,1.16,1.03,0.86,1.00,1.08,2.01,1.92,4.55,8.32,3.19
Asset Turnover,1.38,1.26,0.74,0.49,0.56,0.76,0.88,0.50,0.40,0.67
Return on Equity (ROE),12.00%,12.60%,19.90%,144.90%,-48.90%,9.90%,-55.60%,-7.10%,-5.20%,-1006.50%
Return on Assets (ROA),-6.40%,-6.40%,-8.80%,-41.30%,-5.90%,1.90%,-19.90%,-1.80%,-0.80%,-180.10%
Return on Capital (ROIC),13.70%,13.00%,-3.10%,-142.20%,-7.40%,2.60%,-106.70%,-16.20%,1.00%,2186.20%
Earnings Yield,-100.44%,-75.89%,-91.36%,-1128.79%,-58.15%,4.02%,-9.43%,-2.76%,-1.11%,-24.85%
FCF Yield,68.22%,64.24%,29.54%,126.06%,-9.84%,-2.73%,8.14%,90.42%,21.17%,-15.28%
Buyback Yield / Dilution,-6.23%,-5.77%,-20.67%,11.06%,-10.12%,-12.82%,6.43%,-0.27%,-11.21%,-
Total Shareholder Return,-6.23%,-5.77%,-20.67%,11.06%,-10.12%,-12.82%,6.43%,-0.27%,-11.21%,-
