Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,187,246,200,180,294,251,-
Market Cap Growth,-,22.95%,11.67%,-38.98%,17.22%,-,-
Enterprise Value,78,159,-95,-39,21,-68,-240
PE Ratio,7.22,9.13,9.69,13.08,16.99,17.32,-
PS Ratio,1.83,2.39,2.40,2.34,3.91,4.39,-
PB Ratio,0.60,0.78,0.76,0.71,1.16,1.25,-
P/FCF Ratio,4.31,6.36,21.87,24.12,27.97,48.04,-
P/OCF Ratio,4.23,6.22,19.22,17.96,42.29,40.24,-
EV/Sales Ratio,0.76,1.54,-1.13,-0.50,0.28,-1.20,-5.43
EV/EBITDA Ratio,1.85,3.87,-2.93,-1.76,0.79,-3.03,-15.24
EV/EBIT Ratio,2.04,4.30,-3.32,-2.11,0.88,-3.34,-16.98
EV/FCF Ratio,1.80,4.10,-10.32,-5.18,1.99,-13.10,-26.81
Debt / Equity Ratio,0.28,0.28,0.32,0.35,0.09,0.04,0.10
Debt / EBITDA Ratio,2.10,2.18,2.62,4.06,0.90,0.36,0.72
Debt / FCF Ratio,2.04,2.30,9.23,11.96,2.27,1.56,1.27
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.05
Return on Equity (ROE),8.70%,8.50%,8.10%,5.40%,7.40%,8.10%,5.30%
Return on Assets (ROA),1.10%,1.00%,0.90%,0.60%,1.00%,1.10%,0.50%
Return on Capital (ROIC),1.60%,1.60%,1.50%,0.90%,1.70%,2.00%,1.80%
Earnings Yield,14.71%,10.95%,10.32%,7.65%,5.89%,5.77%,-
FCF Yield,23.22%,15.73%,4.57%,4.15%,3.58%,2.08%,-
Dividend Yield,1.66%,1.07%,-,-,-,-,-
Payout Ratio,12.00%,9.70%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-0.42%,-20.60%,9.05%,-1.75%,-21.33%,-48.65%,-19.64%
Total Shareholder Return,1.24%,-19.54%,9.05%,-1.75%,-21.33%,-48.65%,-19.64%
