Year,Current,2022
Market Capitalization,113,109
Enterprise Value,112,108
PE Ratio,261.00,-187.44
PB Ratio,-42.22,-44.51
P/FCF Ratio,-92.46,-91.39
P/OCF Ratio,-92.46,-91.39
EV/EBITDA Ratio,131.63,-294.76
EV/EBIT Ratio,131.63,-294.76
EV/FCF Ratio,-92.21,-90.75
Current Ratio,0.70,1.18
Return on Equity (ROE),-20.50%,30.10%
Return on Assets (ROA),0.50%,-0.60%
Return on Capital (ROIC),1.00%,-0.40%
Earnings Yield,0.40%,-0.53%
FCF Yield,-1.08%,-1.09%
Buyback Yield / Dilution,-11.66%,-461.46%
Total Shareholder Return,-11.66%,-461.46%
