Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,538,397,496,327,450,510,470,354,178,205,203,Upgrade
Market Cap Growth,-,-19.96%,51.54%,-27.24%,-11.79%,8.41%,32.99%,98.80%,-13.35%,1.28%,133.53%,Upgrade
Enterprise Value,"1,121","1,022","1,099",923,"1,010",905,708,557,186,342,299,Upgrade
PE Ratio,-41.83,114.95,8.77,17.77,39.40,15.22,12.95,10.56,14.23,10.01,16.91,Upgrade
PS Ratio,4.46,3.76,6.00,3.43,4.84,7.06,7.91,7.64,5.86,6.76,10.74,Upgrade
PB Ratio,0.97,0.75,1.01,0.69,0.89,0.95,1.03,0.94,0.48,0.96,0.97,Upgrade
P/FCF Ratio,7.62,-7.94,10.00,-66.23,-3.70,-2.45,-6.13,-2.14,-80.65,-9.23,-1.63,Upgrade
P/OCF Ratio,7.62,-7.94,10.00,-66.23,-3.70,-2.45,-6.13,-2.14,-80.65,-9.23,-1.63,Upgrade
EV/Sales Ratio,9.31,9.69,13.29,9.67,10.87,12.54,11.90,12.03,6.13,11.26,15.83,Upgrade
EV/EBITDA Ratio,46.11,30.40,13.98,20.10,29.74,18.61,15.75,14.50,14.37,16.28,24.67,Upgrade
EV/EBIT Ratio,46.11,30.40,13.98,20.10,29.74,18.61,15.75,14.50,14.37,16.28,24.67,Upgrade
EV/FCF Ratio,15.90,-20.45,22.16,-186.79,-8.32,-4.35,-9.23,-3.37,-84.36,-15.36,-2.40,Upgrade
Debt / Equity Ratio,1.14,1.28,1.33,1.37,1.24,0.87,0.56,0.62,0.08,0.70,0.48,Upgrade
Debt / EBITDA Ratio,26.08,20.02,8.31,14.22,18.36,9.61,5.71,6.05,2.29,7.13,8.30,Upgrade
Debt / FCF Ratio,8.99,-13.47,13.17,-132.20,-5.14,-2.25,-3.35,-1.40,-13.42,-6.73,-0.81,Upgrade
Asset Turnover,0.10,0.08,0.07,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.08,Upgrade
Return on Equity (ROE),-2.40%,0.70%,11.50%,3.80%,2.20%,6.20%,8.30%,9.10%,5.00%,9.60%,8.10%,Upgrade
Return on Assets (ROA),-1.00%,0.30%,5.00%,1.50%,1.10%,3.50%,4.80%,6.10%,3.30%,5.30%,5.00%,Upgrade
Return on Capital (ROIC),1.30%,1.70%,4.70%,2.50%,2.20%,3.90%,4.50%,5.60%,2.80%,3.90%,3.90%,Upgrade
Earnings Yield,-2.35%,0.87%,11.40%,5.63%,2.54%,6.57%,7.72%,9.47%,7.03%,9.99%,5.91%,Upgrade
FCF Yield,13.13%,-12.59%,10.00%,-1.51%,-27.00%,-40.85%,-16.31%,-46.79%,-1.24%,-10.84%,-61.38%,Upgrade
Dividend Yield,10.69%,11.87%,8.91%,13.51%,9.83%,8.67%,7.87%,8.62%,9.34%,7.82%,7.46%,Upgrade
Payout Ratio,-327.10%,1425.00%,78.10%,242.60%,393.10%,131.00%,95.00%,91.20%,144.80%,78.00%,82.20%,Upgrade
Buyback Yield / Dilution,-26.90%,-6.64%,-,-,-,-19.37%,-21.51%,-79.42%,-,-1.28%,-114.71%,Upgrade
Total Shareholder Return,-16.21%,5.24%,8.91%,13.51%,9.83%,-10.70%,-13.64%,-70.80%,9.34%,6.53%,-107.25%,Upgrade
