Year,Current,2022,2021,2020,2019
Market Capitalization,"4,409","5,342","8,835","10,534",-
Market Cap Growth,-,-39.54%,-16.13%,-,-
Enterprise Value,"7,997","8,719","12,403","13,462","3,802"
PE Ratio,-1087.96,-2322.64,-123.22,-58.33,-
PS Ratio,2.07,2.40,4.08,6.06,-
PB Ratio,1.34,1.53,2.40,2.99,-
P/FCF Ratio,13.66,16.74,35.81,127.68,-
P/OCF Ratio,8.33,9.95,17.54,51.26,-
EV/Sales Ratio,3.59,3.92,5.73,7.74,2.64
EV/EBITDA Ratio,10.68,11.64,16.02,23.21,33.89
EV/EBIT Ratio,48.38,53.79,78.45,319.02,-10.14
EV/FCF Ratio,23.67,27.31,50.27,163.18,-27.10
Debt / Equity Ratio,1.04,1.02,1.02,0.93,2.57
Debt / EBITDA Ratio,4.79,4.78,4.84,5.66,34.77
Debt / FCF Ratio,10.61,11.23,15.18,39.77,-27.80
Current Ratio,0.62,0.64,0.71,1.06,0.38
Asset Turnover,0.24,0.23,0.22,0.19,-
Return on Equity (ROE),-0.10%,-0.10%,-2.00%,-7.20%,-
Return on Assets (ROA),0.00%,0.00%,-0.70%,-2.00%,-
Return on Capital (ROIC),4.70%,4.60%,4.60%,1.30%,-
Earnings Yield,-0.10%,-0.04%,-0.81%,-1.71%,-
FCF Yield,7.32%,5.98%,2.79%,0.78%,-
Dividend Yield,1.50%,0.80%,-,-,-
Payout Ratio,-1000.00%,-1000.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-0.19%,-0.09%,-16.78%,-16.72%,-745.43%
Total Shareholder Return,1.31%,0.71%,-16.78%,-16.72%,-745.43%
