Year,Current,2022,2021
Market Capitalization,137,402,388
Market Cap Growth,-,3.60%,-
Enterprise Value,138,403,388
PE Ratio,38.48,38.02,58.88
PB Ratio,-26.29,-26.29,-18.33
P/FCF Ratio,-394.01,-394.01,-181.56
P/OCF Ratio,-394.01,-394.01,-181.56
EV/EBITDA Ratio,13.04,38.11,58.86
EV/EBIT Ratio,13.04,38.11,58.86
EV/FCF Ratio,-394.90,-394.90,-181.51
Debt / Equity Ratio,-0.07,-0.07,-
Debt / EBITDA Ratio,0.09,0.09,-
Debt / FCF Ratio,-0.98,-0.98,-
Current Ratio,0.03,0.03,0.39
Return on Equity (ROE),-65.20%,-65.20%,-83.50%
Return on Assets (ROA),3.30%,3.30%,2.10%
Return on Capital (ROIC),3.30%,3.30%,2.10%
Earnings Yield,7.72%,2.63%,1.70%
FCF Yield,-0.75%,-0.25%,-0.55%
Buyback Yield / Dilution,-18.51%,-18.51%,-
Total Shareholder Return,-18.51%,-18.51%,-
