Year,Current,2022
Market Capitalization,344,334
Enterprise Value,344,334
PE Ratio,36.52,49.24
PB Ratio,-836.11,-836.11
P/FCF Ratio,-161.60,-161.60
P/OCF Ratio,-161.60,-161.60
EV/EBITDA Ratio,50.58,49.15
EV/EBIT Ratio,50.58,49.15
EV/FCF Ratio,-161.29,-161.29
Current Ratio,4.60,4.60
Return on Equity (ROE),-647.40%,-647.40%
Return on Assets (ROA),3.30%,3.30%
Return on Capital (ROIC),3.40%,3.40%
Earnings Yield,1.97%,2.03%
FCF Yield,-0.60%,-0.62%
Buyback Yield / Dilution,-311.48%,-311.48%
Total Shareholder Return,-311.48%,-311.48%
