Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,87,108,130,100,157,142,152,150,146,141,166,Upgrade
Market Cap Growth,-,-16.77%,30.17%,-36.63%,10.55%,-6.29%,1.53%,2.51%,3.82%,-15.29%,30.68%,Upgrade
Enterprise Value,231,170,161,125,188,225,205,190,156,63,79,Upgrade
PE Ratio,9.60,11.88,17.17,12.97,35.63,66.80,29.18,20.02,14.89,21.28,6.43,Upgrade
PS Ratio,2.14,2.79,3.61,2.51,3.08,2.42,2.25,2.10,1.95,2.14,1.51,Upgrade
PB Ratio,0.67,0.84,1.02,0.80,1.30,1.18,1.19,1.12,1.03,0.96,1.04,Upgrade
P/FCF Ratio,5.57,9.29,11.44,12.91,1.47,5.09,1.85,3.23,-2.51,2.94,3.08,Upgrade
P/OCF Ratio,5.30,9.16,11.22,12.54,1.47,5.09,1.82,3.13,-2.53,2.90,3.01,Upgrade
EV/Sales Ratio,5.71,4.37,4.47,3.13,3.67,3.83,3.04,2.67,2.08,0.96,0.71,Upgrade
EV/EBITDA Ratio,14.00,9.58,9.76,8.73,20.88,26.02,17.92,12.86,8.23,4.75,1.77,Upgrade
EV/EBIT Ratio,17.42,13.19,15.76,11.44,31.73,40.75,23.29,14.77,9.13,5.43,1.84,Upgrade
EV/FCF Ratio,14.88,14.59,14.15,16.15,1.75,8.05,2.51,4.10,-2.68,1.32,1.46,Upgrade
Debt / Equity Ratio,1.58,0.66,0.79,1.14,0.84,1.05,0.98,0.68,0.65,0.28,0.67,Upgrade
Debt / EBITDA Ratio,12.45,4.80,6.14,9.87,11.24,14.57,11.02,6.19,4.82,3.12,2.40,Upgrade
Debt / FCF Ratio,13.23,7.31,8.90,18.26,0.94,4.51,1.54,1.97,-1.57,0.87,1.97,Upgrade
Asset Turnover,0.03,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.07,0.06,0.09,Upgrade
Return on Equity (ROE),7.20%,7.10%,6.00%,6.20%,3.60%,1.80%,4.00%,5.50%,6.90%,4.40%,16.50%,Upgrade
Return on Assets (ROA),0.70%,0.80%,0.60%,0.70%,0.40%,0.20%,0.40%,0.60%,0.90%,0.60%,2.10%,Upgrade
Return on Capital (ROIC),1.00%,1.10%,0.80%,0.90%,0.50%,0.40%,0.70%,1.10%,1.50%,1.10%,3.60%,Upgrade
Earnings Yield,10.71%,8.42%,5.82%,7.71%,2.81%,1.50%,3.43%,5.00%,6.72%,4.70%,15.54%,Upgrade
FCF Yield,17.95%,10.76%,8.74%,7.75%,68.05%,19.66%,53.95%,30.93%,-39.84%,34.00%,32.51%,Upgrade
Dividend Yield,4.52%,3.78%,3.24%,4.18%,2.67%,2.94%,2.70%,2.62%,2.69%,2.75%,1.51%,Upgrade
Payout Ratio,43.40%,45.50%,55.40%,54.40%,94.90%,200.00%,78.80%,53.30%,41.30%,59.70%,9.90%,Upgrade
Buyback Yield / Dilution,3.69%,3.08%,-1.08%,0.81%,-0.49%,5.46%,3.48%,6.23%,9.82%,7.48%,5.12%,Upgrade
Total Shareholder Return,8.25%,6.85%,2.16%,4.99%,2.18%,8.39%,6.18%,8.85%,12.51%,10.23%,6.63%,Upgrade
