Year,Current,2022,2021,2020
Market Capitalization,43,42,183,178
Market Cap Growth,-,-77.14%,3.03%,-
Enterprise Value,46,45,184,177
PE Ratio,26.28,13.94,30.32,-23.35
PB Ratio,-4.63,-4.63,-17.68,-10.84
P/FCF Ratio,-30.20,-30.20,-150.61,-586.24
P/OCF Ratio,-30.20,-30.20,-150.61,-586.24
EV/EBITDA Ratio,15.37,14.94,30.40,-23.26
EV/EBIT Ratio,15.37,14.94,30.40,-23.26
EV/FCF Ratio,-32.37,-32.37,-151.01,-583.83
Debt / Equity Ratio,-0.34,-0.34,-0.06,-
Debt / EBITDA Ratio,1.01,1.01,0.10,-
Debt / FCF Ratio,-2.20,-2.20,-0.49,-
Current Ratio,0.03,0.03,0.00,9.90
Return on Equity (ROE),-36.70%,-36.70%,-233.80%,267.80%
Return on Assets (ROA),8.00%,8.00%,4.20%,-10.50%
Return on Capital (ROIC),8.10%,8.10%,5.10%,-10.60%
Earnings Yield,6.96%,7.17%,3.30%,-4.28%
FCF Yield,-3.21%,-3.31%,-0.66%,-0.17%
Buyback Yield / Dilution,57.76%,57.76%,-76.66%,-
Total Shareholder Return,57.76%,57.76%,-76.66%,-
