Year,Current,2022,2021
Market Capitalization,130,127,-
Enterprise Value,26,23,0
PE Ratio,80.31,147.13,-
PB Ratio,340.99,198.37,-
P/FCF Ratio,-99.46,-164.95,-
P/OCF Ratio,-99.46,-164.95,-
EV/EBITDA Ratio,11.91,19.37,-28.65
EV/EBIT Ratio,11.91,19.37,-28.65
EV/FCF Ratio,-19.44,-29.93,-89.03
Debt / Equity Ratio,-,-,1.47
Debt / EBITDA Ratio,-,-,-29.64
Debt / FCF Ratio,-,-,-92.11
Current Ratio,0.84,1.16,0.00
Return on Equity (ROE),212.00%,3.30%,-
Return on Assets (ROA),1.40%,0.80%,-
Return on Capital (ROIC),-1365.00%,-500.50%,-
Earnings Yield,1.15%,0.68%,-
FCF Yield,-1.00%,-0.61%,-
Buyback Yield / Dilution,-67.90%,-349.73%,-
Total Shareholder Return,-67.90%,-349.73%,-
