Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2007
Market Capitalization,92,219,235,229,299,251,305,321,269,215,236,Upgrade
Market Cap Growth,-,-7.06%,2.98%,-23.65%,19.39%,-17.77%,-4.88%,19.41%,24.99%,-9.04%,-5.19%,Upgrade
Enterprise Value,279,350,304,36,440,383,417,389,332,231,252,Upgrade
PE Ratio,6.46,13.54,13.51,12.29,13.61,13.05,20.39,19.62,18.21,15.24,16.13,Upgrade
PS Ratio,1.57,3.63,3.79,3.64,4.52,3.99,4.88,5.17,4.40,3.68,4.03,Upgrade
PB Ratio,0.36,0.85,0.92,0.92,1.23,1.07,1.30,1.40,1.22,0.99,1.11,Upgrade
P/FCF Ratio,6.42,18.31,19.36,11.89,13.86,11.79,16.59,17.61,16.27,16.37,15.54,Upgrade
P/OCF Ratio,4.81,13.13,18.80,10.89,13.41,11.60,14.57,17.09,15.69,15.24,13.62,Upgrade
EV/Sales Ratio,4.86,5.81,4.89,0.57,6.63,6.10,6.66,6.27,5.44,3.96,4.29,Upgrade
EV/EBITDA Ratio,12.27,13.68,10.83,1.21,13.64,14.41,15.33,13.76,12.84,9.46,10.21,Upgrade
EV/EBIT Ratio,14.99,16.31,12.75,1.42,15.54,15.12,15.99,14.34,13.52,10.03,10.71,Upgrade
EV/FCF Ratio,19.83,29.30,24.96,1.87,20.35,18.01,22.67,21.37,20.10,17.57,16.55,Upgrade
Debt / Equity Ratio,1.08,0.67,0.66,0.69,0.76,0.76,0.61,0.56,0.59,0.42,0.43,Upgrade
Debt / EBITDA Ratio,12.04,6.71,5.99,5.73,5.74,6.74,5.29,4.59,5.00,3.73,3.68,Upgrade
Debt / FCF Ratio,19.45,14.38,13.81,8.89,8.57,8.43,7.82,7.12,7.82,6.93,5.97,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),5.40%,6.30%,6.90%,7.60%,9.10%,8.20%,6.40%,7.20%,6.80%,6.60%,6.80%,Upgrade
Return on Assets (ROA),0.60%,0.70%,0.80%,0.90%,1.10%,0.90%,0.80%,0.90%,0.80%,0.80%,0.90%,Upgrade
Return on Capital (ROIC),0.80%,0.90%,1.10%,1.20%,1.30%,1.20%,1.30%,1.40%,1.30%,1.40%,1.50%,Upgrade
Earnings Yield,15.25%,7.38%,7.40%,8.14%,7.35%,7.66%,4.91%,5.10%,5.49%,6.56%,6.20%,Upgrade
FCF Yield,15.59%,5.46%,5.17%,8.41%,7.22%,8.48%,6.03%,5.68%,6.15%,6.11%,6.43%,Upgrade
Dividend Yield,10.07%,4.16%,4.33%,3.70%,4.64%,4.27%,3.75%,2.67%,2.62%,3.04%,2.58%,Upgrade
Payout Ratio,65.80%,56.40%,58.30%,45.30%,62.60%,55.10%,74.50%,51.70%,47.80%,45.80%,41.10%,Upgrade
Buyback Yield / Dilution,2.30%,2.08%,0.94%,1.38%,0.80%,1.39%,-2.37%,-0.53%,0.58%,5.36%,3.61%,Upgrade
Total Shareholder Return,12.48%,6.24%,5.27%,5.08%,5.44%,5.66%,1.38%,2.15%,3.20%,8.40%,6.19%,Upgrade
