Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,110,213,190,176,238,237,210,133,128,100,-,Upgrade
Market Cap Growth,-,11.83%,8.39%,-26.31%,0.70%,12.67%,58.35%,3.79%,27.25%,-,-,Upgrade
Enterprise Value,432,612,229,315,377,452,392,230,277,223,16,Upgrade
PE Ratio,3.81,5.96,23.80,12.65,14.16,17.40,25.62,16.84,18.08,18.62,-,Upgrade
PS Ratio,1.12,2.02,2.61,2.36,3.45,4.01,4.69,3.48,3.37,3.25,-,Upgrade
PB Ratio,0.50,0.99,0.79,0.72,0.99,1.30,1.22,1.18,1.17,0.97,-,Upgrade
P/FCF Ratio,3.06,4.59,6.27,17.29,22.39,20.60,26.26,3.68,3.75,-1.08,-,Upgrade
P/OCF Ratio,3.15,4.98,5.69,9.90,12.84,14.42,22.22,3.56,3.41,-1.15,-,Upgrade
EV/Sales Ratio,4.41,5.82,3.14,4.23,5.45,7.65,8.76,6.03,7.30,7.20,0.70,Upgrade
EV/EBITDA Ratio,10.63,12.55,15.37,14.39,15.44,22.85,27.40,17.70,23.03,28.30,3.15,Upgrade
EV/EBIT Ratio,11.89,13.81,23.11,18.19,17.99,26.23,31.51,20.00,26.18,34.03,3.81,Upgrade
EV/FCF Ratio,11.99,13.20,7.54,31.04,35.40,39.33,49.03,6.38,8.12,-2.40,2.10,Upgrade
Debt / Equity Ratio,1.62,2.04,0.56,0.72,0.76,1.28,1.23,1.12,1.56,1.37,0.80,Upgrade
Debt / EBITDA Ratio,8.69,9.01,9.11,7.99,7.51,11.75,14.85,9.74,14.15,18.01,8.57,Upgrade
Debt / FCF Ratio,9.81,9.48,4.47,17.23,17.21,20.23,26.57,3.51,4.99,-1.53,5.69,Upgrade
Asset Turnover,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.05,Upgrade
Return on Equity (ROE),13.70%,16.30%,3.30%,5.80%,7.80%,7.70%,5.30%,7.00%,6.60%,6.70%,6.40%,Upgrade
Return on Assets (ROA),1.10%,1.40%,0.30%,0.60%,0.80%,0.80%,0.60%,0.70%,0.80%,0.70%,0.60%,Upgrade
Return on Capital (ROIC),1.20%,1.60%,0.40%,0.70%,1.00%,0.90%,0.80%,0.90%,1.00%,0.80%,0.80%,Upgrade
Earnings Yield,26.72%,16.77%,4.20%,7.91%,7.06%,5.75%,3.90%,5.94%,5.53%,5.37%,-,Upgrade
FCF Yield,32.73%,21.78%,15.94%,5.78%,4.47%,4.86%,3.81%,27.15%,26.70%,-92.30%,-,Upgrade
Dividend Yield,3.38%,1.70%,1.68%,1.51%,0.95%,0.81%,0.30%,0.23%,0.18%,0.10%,-,Upgrade
Payout Ratio,12.80%,10.30%,40.30%,19.70%,13.60%,14.30%,7.50%,3.80%,3.30%,1.40%,0.00%,Upgrade
Buyback Yield / Dilution,3.86%,4.38%,2.62%,-6.93%,-4.06%,-9.49%,-22.54%,2.05%,-0.14%,-,-,Upgrade
Total Shareholder Return,7.24%,6.07%,4.31%,-5.42%,-3.11%,-8.67%,-22.24%,2.28%,0.04%,0.10%,-,Upgrade
