Year,Current,2021
Market Capitalization,590,426
Enterprise Value,616,412
PE Ratio,-,1389.12
PS Ratio,-,5.67
PB Ratio,20.14,10.76
P/FCF Ratio,-,35.25
P/OCF Ratio,-,34.08
EV/Sales Ratio,-,5.48
EV/EBITDA Ratio,-,1276.09
EV/EBIT Ratio,-,-1791.63
EV/FCF Ratio,-,34.05
Debt / Equity Ratio,1.04,0.30
Debt / EBITDA Ratio,-,36.26
Debt / FCF Ratio,-,0.97
Current Ratio,-,2.94
Asset Turnover,-,0.27
Return on Equity (ROE),-,8.50%
Return on Assets (ROA),-,0.10%
Return on Capital (ROIC),-,-0.10%
Earnings Yield,0.07%,
FCF Yield,2.84%,
Buyback Yield / Dilution,-156.29%,-500.99%
Total Shareholder Return,-156.29%,-500.99%
