Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,259,387,466,324,306,254,236,246,-,-
Market Cap Growth,-,-16.98%,44.02%,5.90%,20.21%,7.77%,-3.96%,-,-,-
Enterprise Value,172,296,81,86,214,274,223,221,-51,-39
PE Ratio,7.74,9.92,9.58,13.11,13.63,26.34,157.18,27.00,-,-
PS Ratio,2.30,3.28,3.46,3.00,3.35,3.95,5.91,5.26,-,-
PB Ratio,0.74,1.09,1.23,0.94,1.12,1.00,1.61,1.77,-,-
P/FCF Ratio,16.76,-15.95,4.02,14.68,-3.52,8.67,-13.34,44.77,-,-
P/OCF Ratio,16.26,-16.32,4.01,16.88,-3.58,7.57,-14.20,38.99,-,-
EV/Sales Ratio,1.51,2.51,0.60,0.79,2.35,4.26,5.59,4.72,-1.22,-1.09
EV/EBITDA Ratio,3.69,5.71,1.24,2.52,6.67,23.11,33.88,15.74,-4.46,-4.87
EV/EBIT Ratio,3.96,6.08,1.31,2.79,7.33,25.30,36.36,16.23,-4.66,-5.28
EV/FCF Ratio,10.99,-12.21,0.70,3.89,-2.47,9.33,-12.62,40.19,5.62,5.37
Debt / Equity Ratio,0.24,0.13,0.08,0.11,0.04,0.49,0.48,0.40,0.45,0.34
Debt / EBITDA Ratio,1.82,0.86,0.46,1.16,0.31,10.55,10.63,3.93,4.23,4.34
Debt / FCF Ratio,5.43,-1.84,0.25,1.79,-0.12,4.26,-3.96,10.02,-5.33,-4.78
Asset Turnover,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.04,0.04,-
Return on Equity (ROE),9.80%,10.90%,13.40%,8.00%,8.40%,5.40%,1.10%,7.30%,7.20%,-
Return on Assets (ROA),1.10%,1.20%,1.50%,0.90%,1.10%,0.60%,0.10%,0.70%,0.60%,-
Return on Capital (ROIC),1.40%,1.60%,2.20%,1.30%,1.60%,0.70%,0.40%,1.10%,1.00%,-
Earnings Yield,13.24%,10.08%,10.44%,7.63%,7.34%,3.80%,0.64%,3.70%,-,-
FCF Yield,5.97%,-6.27%,24.86%,6.81%,-28.44%,11.54%,-7.50%,2.23%,-,-
Dividend Yield,3.33%,2.05%,1.09%,1.25%,1.16%,0.46%,-,-,-,-
Payout Ratio,25.20%,20.30%,10.50%,16.40%,15.20%,11.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,2.96%,0.54%,-9.88%,-8.45%,-28.54%,-13.10%,-14.19%,-8.00%,-0.98%,1.24%
Total Shareholder Return,6.30%,2.59%,-8.78%,-7.20%,-27.38%,-12.64%,-14.19%,-8.00%,-0.98%,1.24%
