Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,17,8,32,7,1,6,54,-,-,-,-,Upgrade
Market Cap Growth,-,-74.46%,360.96%,426.12%,-76.96%,-89.32%,-,-,-,-,-,Upgrade
Enterprise Value,10,4,27,6,1,6,54,3,1,-0,-0,Upgrade
PE Ratio,-1.62,-0.52,-1.53,-2.74,-0.77,-6.94,-1.19,-,-,-,-,Upgrade
PS Ratio,13.12,4.87,26.59,-,-,-,12065.29,-,-,-,-,Upgrade
PB Ratio,2.11,0.88,2.67,6.71,-7.24,-22.56,105.28,-,-,-,-,Upgrade
P/FCF Ratio,-22.02,-10.53,-6.62,-2.35,-0.89,-11.36,-36.28,-,-,-,-,Upgrade
P/OCF Ratio,-22.09,-10.61,-6.64,-2.35,-0.89,-11.42,-36.32,-,-,-,-,Upgrade
EV/Sales Ratio,6.60,2.46,22.35,-,-,-,11949.12,9.10,2.66,-0.48,-0.02,Upgrade
EV/EBITDA Ratio,-0.81,-0.26,-1.71,-2.24,-0.70,-7.18,-1.18,-0.07,-0.14,0.00,-0.36,Upgrade
EV/EBIT Ratio,-0.81,-0.26,-1.71,-2.24,-0.70,-7.17,-1.18,-0.07,-0.13,0.00,-0.37,Upgrade
EV/FCF Ratio,-10.96,-5.32,-5.57,-1.89,-0.73,-11.65,-35.93,-4.16,-1.00,0.01,-0.14,Upgrade
Debt / Equity Ratio,-,-,-,0.13,-0.87,-0.78,-,-0.07,-0.65,1.04,-,Upgrade
Debt / EBITDA Ratio,-,-,-,-0.05,-0.10,-0.24,-,-0.08,-0.19,0.00,-,Upgrade
Debt / FCF Ratio,-,-,-,-0.04,-0.11,-0.39,-,-4.29,-1.36,-0.01,-,Upgrade
Current Ratio,17.45,7.16,2.74,3.05,0.69,0.19,7.74,0.00,0.03,0.26,2.95,Upgrade
Asset Turnover,0.14,0.13,0.08,0,0,0,0.03,1.71,0.24,0.04,5.17,Upgrade
Return on Equity (ROE),-118.70%,-133.70%,-172.60%,-1200.90%,-19985.70%,-2535.50%,1146.90%,166.60%,588.40%,-1661.10%,-33.70%,Upgrade
Return on Assets (ROA),-109.60%,-119.50%,-146.20%,-244.60%,-418.40%,-491.70%,-26970.80%,-21241.30%,-469.10%,-1358.10%,28.00%,Upgrade
Return on Capital (ROIC),-157.80%,-171.40%,-146.20%,-1725.80%,1448.20%,-4260.40%,1126.20%,186.30%,678.20%,-4696.90%,27.50%,Upgrade
Earnings Yield,-61.18%,-192.90%,-65.45%,-36.52%,-130.51%,-14.41%,-84.11%,-,-,-,-,Upgrade
FCF Yield,-4.50%,-9.49%,-15.10%,-42.48%,-112.71%,-8.80%,-2.76%,-,-,-,-,Upgrade
Dividend Yield,7.73%,-,-,-,-,-,-,-,-,-,Upgrade,
Payout Ratio,0.00%,-4.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,Upgrade
Buyback Yield / Dilution,-11.66%,-86.14%,-129.29%,-87.81%,-28.26%,-200.77%,-1263.85%,-226.13%,-22.48%,-9.34%,-,Upgrade
Total Shareholder Return,-11.66%,-78.41%,-129.29%,-87.81%,-28.26%,-200.77%,-1263.85%,-226.13%,-22.48%,-9.34%,-,Upgrade
