Year,Current,2022
Market Capitalization,75,230
Enterprise Value,-103,52
PE Ratio,650.93,650.93
PB Ratio,-41.19,-41.19
P/FCF Ratio,-263.65,-263.65
P/OCF Ratio,-263.65,-263.65
EV/EBITDA Ratio,52.52,52.52
EV/EBIT Ratio,52.52,52.52
EV/FCF Ratio,-59.94,-59.94
Current Ratio,11.33,11.33
Return on Equity (ROE),-6.90%,-6.90%
Return on Assets (ROA),0.20%,0.20%
Return on Capital (ROIC),304.80%,304.80%
Earnings Yield,0.47%,0.15%
FCF Yield,-1.17%,-0.38%
Buyback Yield / Dilution,-141.67%,-
Total Shareholder Return,-141.67%,-
