Year,Current,2022,2021,2020,2019
Market Capitalization,"1,078","1,304",544,-,-
Market Cap Growth,-,139.85%,-,-,-
Enterprise Value,484,701,13,-375,-187
PE Ratio,12.95,14.96,-2.02,-,-
PS Ratio,2.71,3.25,1.09,-,-
PB Ratio,1.59,1.91,0.88,-,-
P/FCF Ratio,10.05,12.05,-3.07,-,-
P/OCF Ratio,9.90,11.87,-3.17,-,-
EV/Sales Ratio,1.20,1.74,0.03,-0.81,-0.87
EV/EBITDA Ratio,5.16,7.47,-0.05,4.08,7.61
EV/EBIT Ratio,5.35,7.74,-0.05,4.00,7.32
EV/FCF Ratio,4.47,6.47,-0.07,3.05,2.40
Debt / Equity Ratio,0.00,0.00,0.01,-0.04,-0.06
Debt / EBITDA Ratio,0.02,0.02,-0.03,-0.11,-0.25
Debt / FCF Ratio,0.02,0.02,-0.05,-0.08,-0.08
Current Ratio,5.07,5.07,4.03,3.57,2.82
Asset Turnover,0.50,0.50,0.61,0.83,-
Return on Equity (ROE),13.60%,13.60%,-66.60%,93.70%,-
Return on Assets (ROA),10.90%,10.90%,-32.80%,-30.50%,-
Return on Capital (ROIC),20.00%,20.00%,-74.70%,-48.50%,-
Earnings Yield,8.01%,6.68%,-49.60%,-,-
FCF Yield,9.95%,8.30%,-32.53%,-,-
Buyback Yield / Dilution,-34.51%,-34.51%,-154.60%,2.40%,-43.35%
Total Shareholder Return,-34.51%,-34.51%,-154.60%,2.40%,-43.35%
