Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Market Capitalization,469,550,569,382,483,513,488,512,339,303,315,Upgrade
Market Cap Growth,-,-3.25%,48.74%,-20.89%,-5.72%,5.04%,-4.69%,51.12%,11.79%,-3.80%,-1.78%,Upgrade
Enterprise Value,378,381,-107,-73,268,465,410,614,506,295,559,Upgrade
PE Ratio,8.21,11.79,11.12,10.64,12.46,14.11,22.72,20.38,13.87,12.33,14.14,Upgrade
PS Ratio,3.19,3.84,3.92,3.04,4.04,4.46,4.48,4.69,3.02,2.51,2.78,Upgrade
PB Ratio,1.09,1.30,1.33,0.90,1.13,1.54,1.39,1.51,0.99,0.86,0.96,Upgrade
P/FCF Ratio,7.42,9.26,11.90,8.40,9.63,10.70,14.32,12.11,5.92,7.47,7.46,Upgrade
P/OCF Ratio,7.28,9.32,11.80,8.34,8.53,10.36,13.42,11.88,5.79,7.27,7.08,Upgrade
EV/Sales Ratio,2.57,2.66,-0.74,-0.58,2.24,4.05,3.76,5.63,4.52,2.45,4.94,Upgrade
EV/EBITDA Ratio,5.52,5.80,-1.48,-1.41,4.94,9.48,8.78,14.41,12.30,6.86,14.11,Upgrade
EV/EBIT Ratio,5.98,6.34,-1.61,-1.59,5.38,10.31,9.74,16.19,14.10,7.81,16.33,Upgrade
EV/FCF Ratio,5.99,6.42,-2.24,-1.61,5.34,9.71,12.04,14.53,8.84,7.27,13.24,Upgrade
Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.09,0.23,0.53,0.64,0.65,0.91,Upgrade
Debt / EBITDA Ratio,0.03,0.03,0.02,0.02,0.03,0.60,1.71,4.19,5.33,5.34,7.58,Upgrade
Debt / FCF Ratio,0.03,0.03,0.03,0.02,0.03,0.61,2.35,4.23,3.83,5.66,7.11,Upgrade
Asset Turnover,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.04,Upgrade
Return on Equity (ROE),11.60%,11.10%,12.00%,8.60%,10.80%,10.70%,6.20%,7.50%,7.10%,7.20%,6.40%,Upgrade
Return on Assets (ROA),1.60%,1.50%,1.60%,1.20%,1.60%,1.60%,0.90%,1.00%,1.00%,1.00%,0.80%,Upgrade
Return on Capital (ROIC),2.30%,2.20%,2.80%,1.90%,2.40%,2.10%,1.80%,1.50%,1.40%,1.40%,1.20%,Upgrade
Earnings Yield,10.44%,8.48%,9.00%,9.40%,8.03%,7.09%,4.40%,4.91%,7.21%,8.11%,7.07%,Upgrade
FCF Yield,13.48%,10.80%,8.40%,11.90%,10.39%,9.34%,6.98%,8.26%,16.90%,13.39%,13.40%,Upgrade
Dividend Yield,4.76%,3.37%,3.18%,4.66%,3.13%,4.10%,2.38%,2.03%,2.98%,3.21%,3.19%,Upgrade
Payout Ratio,38.10%,39.70%,35.30%,49.50%,38.90%,57.50%,54.00%,41.40%,40.90%,37.30%,42.50%,Upgrade
Buyback Yield / Dilution,3.41%,4.83%,2.32%,-13.07%,5.46%,2.41%,1.66%,7.27%,3.88%,7.05%,-2.66%,Upgrade
Total Shareholder Return,8.17%,8.20%,5.50%,-8.41%,8.59%,6.51%,4.04%,9.31%,6.86%,10.27%,0.54%,Upgrade
