Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1999
Market Capitalization,163,212,223,219,259,237,259,307,226,242,208,Upgrade
Market Cap Growth,-,-4.65%,1.61%,-15.33%,9.34%,-8.73%,-15.61%,35.86%,-6.36%,15.86%,2.24%,Upgrade
Enterprise Value,185,250,159,68,162,236,254,332,261,275,235,Upgrade
PE Ratio,9.25,11.00,9.31,11.63,15.05,13.91,18.93,19.53,15.06,15.84,14.94,Upgrade
PS Ratio,2.62,3.33,3.31,3.67,4.92,4.79,5.55,6.47,4.90,5.34,5.17,Upgrade
PB Ratio,1.01,1.42,1.07,1.05,1.38,1.37,1.52,1.86,1.40,1.56,1.47,Upgrade
P/FCF Ratio,9.51,11.48,7.79,7.70,13.34,11.79,14.19,14.82,11.07,12.28,9.03,Upgrade
P/OCF Ratio,7.78,10.00,7.31,7.38,12.82,11.43,13.76,14.35,10.00,12.38,8.86,Upgrade
EV/Sales Ratio,3.00,3.91,2.37,1.14,3.09,4.77,5.44,6.99,5.66,6.08,5.83,Upgrade
EV/EBITDA Ratio,7.54,9.19,4.88,2.66,7.09,10.25,11.14,13.76,11.66,12.46,12.09,Upgrade
EV/EBIT Ratio,8.20,9.92,5.20,2.92,7.71,11.00,11.93,14.72,12.54,13.18,12.61,Upgrade
EV/FCF Ratio,10.90,13.49,5.58,2.39,8.36,11.73,13.89,16.00,12.78,13.99,10.17,Upgrade
Debt / Equity Ratio,0.78,0.54,0.21,0.19,0.25,0.32,0.37,0.52,0.53,0.57,0.52,Upgrade
Debt / EBITDA Ratio,5.08,2.94,1.31,1.58,2.06,2.40,2.81,3.56,3.83,4.02,3.82,Upgrade
Debt / FCF Ratio,7.35,4.31,1.50,1.42,2.42,2.75,3.50,4.14,4.20,4.51,3.21,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.03,Upgrade
Return on Equity (ROE),11.50%,12.40%,11.50%,9.40%,9.40%,10.10%,8.00%,9.40%,9.40%,10.00%,9.90%,Upgrade
Return on Assets (ROA),0.80%,0.90%,1.10%,1.00%,1.10%,1.20%,1.00%,1.20%,1.10%,1.20%,1.10%,Upgrade
Return on Capital (ROIC),1.10%,1.20%,1.60%,1.30%,1.40%,1.50%,1.50%,1.70%,1.50%,1.60%,1.50%,Upgrade
Earnings Yield,10.75%,9.09%,10.74%,8.60%,6.64%,7.19%,5.28%,5.12%,6.64%,6.31%,6.69%,Upgrade
FCF Yield,10.52%,8.71%,12.84%,12.99%,7.50%,8.48%,7.05%,6.75%,9.03%,8.14%,11.07%,Upgrade
Dividend Yield,6.01%,4.53%,4.21%,4.12%,3.39%,4.56%,3.12%,2.52%,3.21%,2.70%,2.81%,Upgrade
Payout Ratio,55.70%,50.00%,39.30%,48.10%,51.10%,63.40%,59.20%,49.10%,48.40%,42.70%,42.00%,Upgrade
Buyback Yield / Dilution,1.10%,1.10%,0.34%,1.08%,0.95%,-,-,-,-,-,-,Upgrade
Total Shareholder Return,7.12%,5.63%,4.54%,5.21%,4.33%,4.56%,3.12%,2.52%,3.21%,2.70%,2.81%,Upgrade
