Year,Current,2022,2021
Market Capitalization,198,194,186
Market Cap Growth,-,4.02%,-
Enterprise Value,198,193,185
PE Ratio,68.60,159.31,-62.30
PB Ratio,-38.84,-39.90,-27.85
P/FCF Ratio,-481.37,-495.50,-223.94
P/OCF Ratio,-481.37,-495.50,-223.94
EV/EBITDA Ratio,66.32,158.99,-62.04
EV/EBIT Ratio,66.32,158.99,-62.04
EV/FCF Ratio,-480.65,-494.52,-223.00
Current Ratio,0.14,0.19,0.46
Return on Equity (ROE),-55.20%,-20.70%,111.50%
Return on Assets (ROA),2.00%,0.80%,-4.00%
Return on Capital (ROIC),2.00%,0.80%,-4.00%
Earnings Yield,1.51%,0.63%,-1.61%
FCF Yield,-0.21%,-0.20%,-0.45%
Buyback Yield / Dilution,-61.16%,-,
Total Shareholder Return,-61.16%,-,
