Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2006
Market Capitalization,"15,133","17,207","12,831","8,263","7,457","5,296","5,153","3,139","4,052","4,402","4,786",Upgrade
Market Cap Growth,-,34.11%,55.27%,10.82%,40.79%,2.77%,64.17%,-22.52%,-7.96%,-8.02%,56.58%,Upgrade
Enterprise Value,"15,344","16,787","13,572","8,810","8,634","6,211","6,022","3,862","4,816","5,045","5,292",Upgrade
PE Ratio,14.61,20.35,27.90,17.48,13.32,12.05,21.58,16.36,24.00,24.72,26.32,Upgrade
PS Ratio,1.66,2.00,1.66,1.41,1.33,1.02,1.20,0.78,0.95,1.01,1.16,Upgrade
PB Ratio,6.78,7.94,7.68,6.29,7.28,5.44,5.34,3.82,5.66,4.53,4.35,Upgrade
P/FCF Ratio,10.05,10.50,54.10,13.03,15.95,11.80,15.09,12.01,19.58,29.40,58.45,Upgrade
P/OCF Ratio,8.20,8.84,28.32,10.46,11.95,9.11,11.37,8.07,14.50,18.95,29.89,Upgrade
EV/Sales Ratio,1.71,1.95,1.76,1.50,1.54,1.20,1.41,0.95,1.13,1.15,1.28,Upgrade
EV/EBITDA Ratio,8.42,11.01,14.49,9.69,8.36,7.18,10.14,7.60,10.62,11.39,12.42,Upgrade
EV/EBIT Ratio,10.09,13.56,19.23,12.04,9.90,8.65,12.77,9.80,14.10,14.57,15.44,Upgrade
EV/FCF Ratio,10.36,10.24,57.23,13.89,18.47,13.84,17.64,14.78,23.28,33.70,64.64,Upgrade
Debt / Equity Ratio,1.30,1.25,1.68,1.78,2.59,2.54,2.58,2.78,3.06,1.67,1.40,Upgrade
Debt / EBITDA Ratio,1.56,1.78,3.01,2.58,2.56,2.86,4.20,4.49,4.83,3.67,3.60,Upgrade
Debt / FCF Ratio,1.93,1.66,11.87,3.70,5.67,5.52,7.30,8.73,10.58,10.86,18.75,Upgrade
Asset Turnover,0.99,0.99,1.05,0.95,1.00,0.97,0.86,0.87,1.03,1.11,1.06,Upgrade
Return on Equity (ROE),51.20%,43.70%,29.30%,40.70%,54.90%,44.30%,26.00%,24.90%,18.80%,17.10%,15.90%,Upgrade
Return on Assets (ROA),11.60%,9.80%,6.30%,7.70%,10.00%,8.20%,4.80%,4.10%,4.10%,4.50%,4.60%,Upgrade
Return on Capital (ROIC),21.90%,18.20%,11.30%,14.10%,17.80%,16.50%,11.60%,10.80%,11.00%,12.40%,13.30%,Upgrade
Earnings Yield,7.06%,4.91%,3.58%,5.72%,7.51%,8.30%,4.63%,6.11%,4.17%,4.04%,3.80%,Upgrade
FCF Yield,9.95%,9.52%,1.85%,7.68%,6.27%,8.48%,6.62%,8.32%,5.11%,3.40%,1.71%,Upgrade
Dividend Yield,0.57%,0.47%,0.64%,0.98%,1.13%,1.71%,1.79%,2.87%,2.39%,2.22%,1.44%,Upgrade
Payout Ratio,7.90%,9.40%,17.40%,16.80%,14.70%,20.00%,37.70%,46.50%,56.50%,53.90%,37.40%,Upgrade
Buyback Yield / Dilution,1.96%,0.56%,-1.29%,4.63%,6.62%,1.62%,-2.34%,7.00%,4.79%,4.11%,4.55%,Upgrade
Total Shareholder Return,2.54%,1.03%,-0.65%,5.61%,7.75%,3.34%,-0.55%,9.87%,7.17%,6.32%,5.99%,Upgrade
