Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,42,58,64,54,57,-,-
Market Cap Growth,-,-9.71%,18.76%,-5.74%,-,-,-
Enterprise Value,77,148,86,98,117,63,62
PE Ratio,-88.74,-102.51,24.48,50.06,-725.40,-,-
PS Ratio,2.60,3.68,3.94,3.79,4.40,-,-
PB Ratio,0.56,1.17,1.06,0.92,1.00,-,-
P/FCF Ratio,120.69,66.57,26.90,48.89,74.33,-,-
P/OCF Ratio,88.14,59.53,26.50,38.01,54.11,-,-
EV/Sales Ratio,4.84,9.42,5.26,6.87,8.96,5.00,4.95
EV/EBITDA Ratio,-173.68,-300.24,22.66,60.00,449.16,34.24,28.35
EV/EBIT Ratio,-82.69,-145.98,26.61,92.76,-435.75,48.31,38.19
EV/FCF Ratio,224.74,170.48,35.95,88.56,151.47,-74.66,31.34
Debt / Equity Ratio,0.71,2.01,0.49,0.89,1.16,2.31,2.26
Debt / EBITDA Ratio,-114.99,-201.21,7.79,32.08,254.69,40.92,33.24
Debt / FCF Ratio,153.10,114.25,12.35,47.35,85.89,-89.21,36.74
Asset Turnover,0.03,0.03,0.03,0.03,0.03,0.03,-
Return on Equity (ROE),-0.90%,-1.10%,4.40%,1.80%,-0.20%,3.30%,-
Return on Assets (ROA),-0.10%,-0.10%,0.50%,0.20%,0.00%,0.30%,-
Return on Capital (ROIC),-0.20%,-0.20%,0.60%,0.20%,-0.10%,0.30%,-
Earnings Yield,-1.19%,-0.98%,4.09%,2.00%,-0.14%,-,-
FCF Yield,0.83%,1.50%,3.72%,2.05%,1.35%,-,-
Buyback Yield / Dilution,3.67%,0.86%,-18.68%,-117.66%,55.71%,-,-
Total Shareholder Return,3.67%,0.86%,-18.68%,-117.66%,55.71%,-,-
