Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"21,654","24,121","23,498","17,551","21,903","15,946","20,076","17,999","17,802","17,988","16,198",Upgrade
Market Cap Growth,-,2.65%,33.88%,-19.87%,37.36%,-20.57%,11.54%,1.11%,-1.04%,11.05%,65.44%,Upgrade
Enterprise Value,"25,759","28,134","28,105","21,664","26,489","20,503","24,894","22,581","22,713","23,698","21,314",Upgrade
PE Ratio,12.04,13.45,10.03,10.23,10.61,8.85,-6.41,20.09,10.58,22.54,92.03,Upgrade
PS Ratio,0.94,1.08,1.05,0.86,1.06,0.84,1.17,1.11,1.11,0.97,0.78,Upgrade
PB Ratio,1.51,1.76,1.32,0.95,1.35,1.22,1.49,1.07,1.01,0.96,0.86,Upgrade
P/FCF Ratio,5.08,6.29,5.93,4.67,6.47,5.86,10.37,9.77,7.27,10.19,13.81,Upgrade
P/OCF Ratio,4.86,6.02,5.74,4.53,6.28,5.61,9.18,8.71,6.46,9.54,13.09,Upgrade
EV/Sales Ratio,1.13,1.26,1.26,1.06,1.28,1.08,1.45,1.39,1.42,1.27,1.03,Upgrade
EV/EBITDA Ratio,8.16,9.09,7.38,7.42,8.10,7.22,-17.40,15.52,8.44,13.17,21.14,Upgrade
EV/EBIT Ratio,10.03,11.39,8.98,9.20,9.40,8.64,-13.60,21.36,9.80,15.55,26.02,Upgrade
EV/FCF Ratio,6.05,7.34,7.10,5.77,7.83,7.54,12.86,12.26,9.27,13.43,18.17,Upgrade
Debt / Equity Ratio,0.30,0.32,0.28,0.23,0.30,0.36,0.37,0.29,0.30,0.33,0.35,Upgrade
Debt / EBITDA Ratio,1.38,1.41,1.30,1.49,1.48,1.65,-3.49,3.37,1.99,3.39,6.49,Upgrade
Debt / FCF Ratio,1.02,1.14,1.25,1.16,1.43,1.72,2.58,2.67,2.19,3.46,5.58,Upgrade
Asset Turnover,0.31,0.31,0.30,0.29,0.30,0.19,0.08,0.07,0.07,0.07,0.07,Upgrade
Return on Equity (ROE),13.70%,12.60%,13.10%,10.00%,13.30%,14.00%,-19.30%,5.00%,9.20%,4.20%,0.90%,Upgrade
Return on Assets (ROA),2.60%,2.50%,3.10%,2.40%,3.00%,1.80%,-1.40%,0.40%,0.70%,0.30%,0.10%,Upgrade
Return on Capital (ROIC),3.50%,3.30%,4.10%,3.20%,4.00%,2.30%,-0.80%,0.50%,1.00%,0.60%,0.30%,Upgrade
Earnings Yield,8.71%,7.44%,9.98%,9.78%,9.42%,11.29%,-15.60%,4.98%,9.45%,4.44%,1.09%,Upgrade
FCF Yield,19.69%,15.89%,16.85%,21.41%,15.45%,17.06%,9.64%,10.23%,13.76%,9.81%,7.24%,Upgrade
Dividend Yield,2.32%,2.08%,2.08%,2.65%,1.97%,2.47%,1.67%,1.80%,1.79%,1.58%,1.38%,Upgrade
Payout Ratio,27.60%,28.60%,21.40%,27.10%,21.00%,21.90%,-10.90%,37.20%,19.30%,36.50%,135.10%,Upgrade
Buyback Yield / Dilution,5.61%,6.54%,5.02%,0.58%,-0.47%,-0.57%,5.56%,7.78%,5.07%,3.49%,-2.47%,Upgrade
Total Shareholder Return,7.93%,8.62%,7.10%,3.23%,1.50%,1.91%,7.23%,9.59%,6.86%,5.07%,-1.09%,Upgrade
