Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2006
Market Capitalization,"4,128","4,236","5,301","4,455","2,922","2,896","3,476","2,674","1,970","1,886","1,962",Upgrade
Market Cap Growth,-,-20.08%,18.99%,52.46%,0.90%,-16.67%,29.99%,35.72%,4.47%,-3.87%,121.91%,Upgrade
Enterprise Value,"3,443","2,828","3,659","3,284","2,290","1,970","2,913","2,233","1,619","1,623","1,723",Upgrade
PE Ratio,10.94,8.89,7.16,12.71,9.82,7.68,27.70,24.87,45.96,21.71,36.88,Upgrade
PS Ratio,1.58,1.53,1.61,1.97,1.46,1.40,2.04,1.86,1.61,2.06,2.56,Upgrade
PB Ratio,3.00,2.76,4.01,3.62,3.36,3.82,6.39,5.07,3.90,3.42,3.90,Upgrade
P/FCF Ratio,6.77,8.34,3.91,4.82,6.73,3.55,7.30,6.63,5.60,9.31,10.10,Upgrade
P/OCF Ratio,6.52,7.97,3.83,4.55,5.79,3.41,6.85,6.34,5.36,8.73,9.87,Upgrade
EV/Sales Ratio,1.32,1.02,1.11,1.45,1.14,0.95,1.71,1.55,1.32,1.77,2.25,Upgrade
EV/EBITDA Ratio,5.51,3.93,3.46,6.00,5.01,3.82,7.11,8.86,10.83,9.31,12.89,Upgrade
EV/EBIT Ratio,6.19,4.36,3.70,6.86,5.83,4.05,7.59,9.85,13.51,10.43,14.73,Upgrade
EV/FCF Ratio,5.64,5.57,2.70,3.55,5.28,2.41,6.12,5.54,4.61,8.02,8.87,Upgrade
Debt / Equity Ratio,0.51,0.45,0.55,0.58,0.75,0.26,0.38,0.41,0.37,0.42,0.36,Upgrade
Debt / EBITDA Ratio,1.11,0.96,0.68,1.31,1.42,0.38,0.50,0.86,1.24,1.34,1.34,Upgrade
Debt / FCF Ratio,1.14,1.35,0.53,0.78,1.50,0.24,0.43,0.53,0.53,1.16,0.92,Upgrade
Current Ratio,5.29,2.53,2.16,2.23,2.53,1.98,2.15,2.00,1.84,1.77,1.89,Upgrade
Asset Turnover,0.83,0.87,1.03,0.84,0.94,1.20,1.13,1.01,0.91,0.75,0.71,Upgrade
Return on Equity (ROE),28.30%,33.40%,60.90%,35.80%,37.90%,58.00%,24.60%,23.80%,8.70%,16.70%,11.80%,Upgrade
Return on Assets (ROA),12.80%,15.00%,23.20%,13.10%,13.80%,22.00%,8.30%,7.50%,3.20%,7.10%,5.00%,Upgrade
Return on Capital (ROIC),22.70%,26.30%,40.50%,27.70%,23.40%,63.40%,52.80%,29.90%,17.10%,22.20%,19.30%,Upgrade
Earnings Yield,9.73%,11.25%,13.96%,7.87%,10.18%,13.03%,3.61%,4.02%,2.18%,4.61%,2.71%,Upgrade
FCF Yield,14.78%,12.00%,25.60%,20.76%,14.85%,28.18%,13.69%,15.09%,17.84%,10.74%,9.90%,Upgrade
Dividend Yield,2.68%,2.75%,2.17%,2.25%,3.31%,2.97%,1.83%,2.10%,2.55%,2.29%,2.22%,Upgrade
Payout Ratio,28.00%,23.40%,14.30%,27.20%,30.10%,20.50%,44.90%,46.40%,100.00%,42.60%,68.50%,Upgrade
Buyback Yield / Dilution,3.04%,5.27%,-1.64%,1.32%,4.60%,-1.01%,-1.43%,-1.13%,-4.44%,-8.74%,-18.23%,Upgrade
Total Shareholder Return,5.72%,8.02%,0.53%,3.57%,7.92%,1.96%,0.40%,0.97%,-1.88%,-6.45%,-16.01%,Upgrade
