Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,"12,976","14,429","15,946","13,699","17,918","16,829","22,003","17,849","15,928","19,153",-
Market Cap Growth,-,-9.52%,16.40%,-23.54%,6.47%,-23.51%,23.27%,12.06%,-16.84%,-,-
Enterprise Value,"89,919","91,371","95,643","90,250","88,602","84,848","82,568","59,658","50,761","55,454","39,097"
PE Ratio,4.10,3.92,4.72,4.37,6.09,5.93,8.04,7.76,7.91,10.07,-
PS Ratio,1.84,2.04,1.96,1.57,2.14,2.95,2.97,3.18,2.85,3.66,-
PB Ratio,0.34,0.38,0.40,0.34,0.53,0.52,0.72,0.69,0.61,0.72,-
P/FCF Ratio,2.16,2.40,4.52,-14.39,2.93,-2.87,26.36,6.32,6.53,-13.57,-
P/OCF Ratio,2.16,2.40,4.52,-14.39,2.89,-2.96,22.96,5.67,6.30,-10.07,-
EV/Sales Ratio,12.73,12.94,11.77,10.36,10.57,14.89,11.15,10.64,9.08,10.59,6.92
EV/EBITDA Ratio,15.51,15.76,17.81,18.06,19.17,19.98,21.89,21.29,17.85,19.82,14.50
EV/EBIT Ratio,18.12,18.41,20.74,21.03,21.94,21.34,23.36,23.07,19.48,22.07,16.34
EV/FCF Ratio,14.94,15.18,27.11,-94.81,14.51,-14.48,98.93,21.13,20.82,-39.29,-26.51
Debt / Equity Ratio,2.61,2.61,2.61,2.65,2.81,2.60,2.66,2.24,2.04,2.07,2.09
Debt / EBITDA Ratio,17.31,17.31,19.29,21.46,20.60,19.68,21.69,20.60,18.85,19.70,20.30
Debt / FCF Ratio,16.67,16.67,29.36,-112.66,15.59,-14.27,98.05,20.44,21.97,-39.04,-37.12
Asset Turnover,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,-
Return on Equity (ROE),9.70%,9.70%,8.80%,8.20%,9.10%,9.20%,9.10%,9.00%,7.90%,7.30%,-
Return on Assets (ROA),0.70%,0.70%,0.60%,0.60%,0.70%,0.70%,0.70%,0.70%,0.70%,0.60%,-
Return on Capital (ROIC),0.80%,0.80%,0.80%,0.70%,0.80%,0.90%,0.80%,0.70%,0.80%,0.80%,-
Earnings Yield,28.37%,25.51%,21.18%,22.90%,16.41%,16.85%,12.45%,12.89%,12.65%,9.93%,-
FCF Yield,46.40%,41.73%,22.13%,-6.95%,34.09%,-34.81%,3.79%,15.82%,15.31%,-7.37%,-
Dividend Yield,6.35%,2.12%,0.71%,-,-,-,2.91%,-,2.36%,1.62%,-
Payout Ratio,8.80%,8.80%,3.60%,0.00%,0.00%,0.00%,23.50%,0.00%,19.50%,17.10%,13.00%
Buyback Yield / Dilution,-8.94%,-0.14%,-12.07%,2.20%,0.75%,-,-,-,-,-,-
Total Shareholder Return,-2.59%,1.99%,-11.37%,2.20%,0.75%,-,2.91%,-,2.36%,1.62%,-
