Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,"138,602","143,693","176,139","123,984","82,743","68,204","94,860","79,127","61,591","75,947","61,194",Upgrade
Market Cap Growth,-,-18.42%,42.07%,49.84%,21.32%,-28.10%,19.88%,28.47%,-18.90%,24.11%,62.11%,Upgrade
Enterprise Value,"284,309","261,782","291,582","251,272","207,897","180,136","218,318","178,601","172,913","155,474","132,040",Upgrade
PE Ratio,14.04,13.63,12.09,11.81,9.72,8.30,16.98,14.37,10.86,24.10,23.05,Upgrade
PS Ratio,2.56,2.68,2.95,2.54,1.99,1.70,2.50,2.29,1.75,2.22,1.88,Upgrade
PB Ratio,1.36,1.44,1.67,1.22,1.01,0.85,1.23,1.04,0.82,1.07,0.93,Upgrade
P/FCF Ratio,-7.80,-15.17,5.56,-4.65,2.12,12.54,-15.46,19.27,-10.55,807.95,1.82,Upgrade
P/OCF Ratio,-8.95,-22.46,5.18,-4.91,2.03,9.34,-21.06,14.70,-13.80,69.93,1.75,Upgrade
EV/Sales Ratio,5.33,4.88,4.88,5.15,5.00,4.49,5.75,5.16,4.92,4.54,4.06,Upgrade
EV/EBITDA Ratio,16.62,14.59,12.25,13.96,15.12,13.92,18.14,17.11,17.72,34.26,24.70,Upgrade
EV/EBIT Ratio,21.69,18.78,14.89,17.65,18.72,16.23,21.24,20.52,20.77,46.04,34.44,Upgrade
EV/FCF Ratio,-15.60,-27.63,9.21,-9.42,5.34,33.11,-35.59,43.49,-29.63,1653.98,3.92,Upgrade
Debt / Equity Ratio,2.57,2.46,2.31,2.29,2.54,2.48,2.63,2.33,2.20,2.36,2.58,Upgrade
Debt / EBITDA Ratio,15.13,13.73,10.22,12.94,15.08,15.39,16.94,16.94,16.95,36.83,31.79,Upgrade
Debt / FCF Ratio,-13.68,-25.99,7.68,-8.73,5.32,36.60,-33.23,43.06,-28.34,1777.85,5.04,Upgrade
Asset Turnover,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),9.70%,10.50%,13.80%,10.30%,10.40%,10.30%,7.10%,7.20%,7.60%,4.50%,4.10%,Upgrade
Return on Assets (ROA),0.80%,0.90%,1.20%,0.90%,1.00%,1.00%,0.70%,0.70%,0.70%,0.40%,0.30%,Upgrade
Return on Capital (ROIC),1.00%,1.10%,1.50%,1.20%,1.10%,1.20%,1.00%,0.90%,0.90%,0.40%,0.40%,Upgrade
Earnings Yield,7.19%,7.34%,8.27%,8.47%,10.29%,12.05%,5.89%,6.96%,9.21%,4.15%,4.34%,Upgrade
FCF Yield,-13.84%,-6.59%,17.98%,-21.51%,47.07%,7.98%,-6.47%,5.19%,-9.48%,0.12%,55.06%,Upgrade
Dividend Yield,4.34%,3.52%,2.16%,1.83%,2.58%,2.80%,1.73%,1.67%,1.74%,0.91%,0.64%,Upgrade
Payout Ratio,51.40%,47.40%,25.70%,21.40%,24.70%,22.90%,28.70%,23.50%,18.50%,21.30%,14.40%,Upgrade
Buyback Yield / Dilution,5.24%,5.57%,-11.70%,0.98%,5.64%,4.56%,3.50%,3.38%,0.91%,-0.74%,-1.97%,Upgrade
Total Shareholder Return,9.64%,9.08%,-9.54%,2.81%,8.22%,7.36%,5.23%,5.05%,2.66%,0.17%,-1.33%,Upgrade
