Year,Current,2022,2021,2020
Market Capitalization,752,"1,259","1,218",-
Market Cap Growth,-,3.39%,-,-
Enterprise Value,757,"1,260","1,217",0
PE Ratio,-115.76,59.99,76.82,-
PB Ratio,-9.08,-20.65,-17.73,-
P/FCF Ratio,-495.17,-569.18,-861.30,-
P/OCF Ratio,-495.17,-569.18,-861.30,-
EV/EBITDA Ratio,-116.44,60.06,76.77,-10.65
EV/EBIT Ratio,-116.44,60.06,76.77,-10.65
EV/FCF Ratio,-498.05,-569.84,-860.77,-
Debt / Equity Ratio,-0.05,-0.02,-,13.21
Debt / EBITDA Ratio,-0.69,0.07,-,-10.65
Debt / FCF Ratio,-2.94,-0.68,-,-
Current Ratio,0.01,0.01,0.37,1.02
Return on Equity (ROE),11.10%,-41.80%,-51.50%,-
Return on Assets (ROA),-0.70%,2.10%,1.60%,-
Return on Capital (ROIC),-0.70%,2.10%,1.60%,-
Earnings Yield,-0.85%,1.67%,1.30%,-
FCF Yield,-0.20%,-0.18%,-0.12%,-
Buyback Yield / Dilution,21.20%,-,-400.00%,-
Total Shareholder Return,21.20%,-,-400.00%,-
