Year,Current,2021
Market Capitalization,138,132
Enterprise Value,31,25
PE Ratio,-144.23,-199.63
PB Ratio,-39.46,-49.12
P/FCF Ratio,-111.30,-137.90
P/OCF Ratio,-111.30,-137.90
EV/EBITDA Ratio,-30.02,-37.16
EV/EBIT Ratio,-30.02,-37.16
EV/FCF Ratio,-23.16,-25.67
Current Ratio,3.28,4.52
Return on Equity (ROE),29.90%,53.70%
Return on Assets (ROA),-0.90%,-1.20%
Return on Capital (ROIC),-497.10%,-273.20%
Earnings Yield,-0.68%,-0.50%
FCF Yield,-0.88%,-0.73%
Buyback Yield / Dilution,-53.60%,-
Total Shareholder Return,-53.60%,-
