Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"1,708","1,894","2,938","2,890","2,697","2,862","2,957","3,328","2,569","3,119","2,732",Upgrade
Market Cap Growth,-,-35.54%,1.65%,7.15%,-5.74%,-3.22%,-11.15%,29.54%,-17.63%,14.16%,25.36%,Upgrade
Enterprise Value,"1,882","2,024","3,010","2,958","2,823","2,919","3,037","3,428","2,595","3,119","2,656",Upgrade
PE Ratio,-4.87,-3.69,11.85,7.72,8.43,-499.58,20.41,45.56,34.49,17.53,24.36,Upgrade
PS Ratio,0.43,0.52,0.74,0.76,0.68,0.85,0.87,1.03,0.85,1.04,0.97,Upgrade
PB Ratio,1.15,1.24,1.37,1.42,1.50,1.77,1.68,1.90,1.41,1.66,1.50,Upgrade
P/FCF Ratio,7.35,5.97,6.38,5.11,5.62,8.05,9.01,12.11,15.09,14.13,14.23,Upgrade
P/OCF Ratio,6.38,5.37,5.86,4.77,5.19,7.46,8.66,11.41,13.50,12.65,13.02,Upgrade
EV/Sales Ratio,0.48,0.56,0.75,0.78,0.71,0.86,0.89,1.06,0.86,1.04,0.94,Upgrade
EV/EBITDA Ratio,-5.09,-3.54,7.61,5.44,6.14,64.56,12.78,26.79,21.34,11.21,16.20,Upgrade
EV/EBIT Ratio,-4.23,-3.10,9.51,6.22,7.15,-214.97,16.66,45.89,35.19,12.47,19.91,Upgrade
EV/FCF Ratio,8.21,6.38,6.54,5.23,5.89,8.21,9.25,12.48,15.24,14.13,13.83,Upgrade
Debt / Equity Ratio,0.32,0.28,0.19,0.20,0.23,0.23,0.21,0.18,0.16,0.15,0.10,Upgrade
Debt / EBITDA Ratio,-1.22,-0.74,1.03,0.77,0.91,8.22,1.56,2.50,2.39,1.04,1.16,Upgrade
Debt / FCF Ratio,2.04,1.33,0.89,0.74,0.88,1.05,1.13,1.16,1.70,1.31,0.99,Upgrade
Asset Turnover,0.61,0.56,0.60,0.63,0.69,0.64,0.69,0.68,0.65,0.66,0.66,Upgrade
Return on Equity (ROE),-23.30%,-30.90%,11.60%,20.30%,18.10%,-0.30%,8.20%,4.10%,4.00%,9.40%,6.10%,Upgrade
Return on Assets (ROA),-5.50%,-7.80%,3.70%,6.20%,5.50%,-0.10%,2.90%,1.50%,1.60%,3.90%,2.60%,Upgrade
Return on Capital (ROIC),-7.00%,-9.90%,4.70%,7.80%,6.70%,-0.30%,3.60%,1.60%,1.60%,5.60%,3.20%,Upgrade
Earnings Yield,-21.43%,-27.07%,8.44%,12.96%,11.87%,-0.20%,4.90%,2.19%,2.90%,5.71%,4.10%,Upgrade
FCF Yield,13.61%,16.74%,15.66%,19.57%,17.78%,12.42%,11.10%,8.25%,6.63%,7.08%,7.03%,Upgrade
Dividend Yield,5.18%,5.57%,4.77%,4.83%,5.15%,4.84%,4.67%,4.12%,5.31%,4.36%,4.93%,Upgrade
Payout Ratio,-24.30%,-20.60%,56.50%,37.30%,43.50%,-2502.00%,95.20%,188.10%,183.30%,76.40%,120.10%,Upgrade
Buyback Yield / Dilution,-0.00%,-0.02%,-0.01%,-0.03%,-0.01%,-0.11%,-0.19%,-0.23%,-0.14%,-0.09%,Upgrade,
Total Shareholder Return,5.22%,5.57%,4.75%,4.83%,5.13%,4.82%,4.56%,3.93%,5.08%,4.22%,4.84%,Upgrade
