Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,104,176,224,128,129,110,-
Market Cap Growth,-,-21.40%,75.25%,-1.37%,17.57%,-,-
Enterprise Value,267,300,282,404,258,216,86
PE Ratio,5.30,8.05,6.28,4.83,12.34,13.48,-
PS Ratio,0.98,1.61,1.49,1.00,1.89,1.73,-
PB Ratio,0.66,1.15,1.35,0.90,1.07,1.00,-
P/FCF Ratio,1.59,2.15,1.40,-0.80,6.21,11.71,-
P/OCF Ratio,1.52,2.08,1.35,-0.80,6.00,9.97,-
EV/Sales Ratio,2.57,2.74,1.88,3.16,3.77,3.40,1.36
EV/EBITDA Ratio,10.90,11.30,6.98,12.76,18.18,18.12,12.80
EV/EBIT Ratio,10.29,10.74,6.09,11.69,19.07,20.57,14.94
EV/FCF Ratio,4.19,3.67,1.76,-2.54,12.38,22.98,10.71
Debt / Equity Ratio,1.79,1.06,0.49,2.21,1.39,1.18,1.20
Debt / EBITDA Ratio,11.19,6.13,2.03,9.89,11.83,10.89,18.07
Debt / FCF Ratio,4.30,1.99,0.51,-1.97,8.06,13.82,15.11
Asset Turnover,0.05,0.06,0.09,0.08,0.06,0.07,-
Return on Equity (ROE),13.20%,14.10%,23.00%,20.50%,9.00%,7.70%,-
Return on Assets (ROA),1.00%,1.10%,2.10%,1.70%,1.00%,0.90%,-
Return on Capital (ROIC),1.20%,1.40%,2.60%,1.90%,1.20%,1.00%,-
Earnings Yield,20.05%,12.42%,15.92%,20.73%,8.10%,7.42%,-
FCF Yield,62.87%,46.54%,71.46%,-124.82%,16.10%,8.54%,-
Dividend Yield,4.90%,6.25%,4.37%,1.20%,-,-,-
Payout Ratio,24.30%,48.60%,26.60%,5.80%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,6.43%,1.68%,1.85%,4.26%,0.02%,-,-
Total Shareholder Return,11.45%,7.93%,6.22%,5.47%,0.02%,-,-
