Year,Current,2022,2021
Market Capitalization,294,287,279
Market Cap Growth,-,3.10%,-
Enterprise Value,293,286,278
PE Ratio,102.50,258.85,-552.02
PB Ratio,-31.38,-33.64,-36.70
P/FCF Ratio,-227.46,-252.55,-517.01
P/OCF Ratio,-227.46,-252.55,-517.01
EV/EBITDA Ratio,69.06,165.68,-549.99
EV/EBIT Ratio,69.06,165.68,-549.99
EV/FCF Ratio,-226.75,-251.52,-515.10
Current Ratio,0.86,1.87,2.32
Return on Equity (ROE),-36.10%,-13.40%,13.30%
Return on Assets (ROA),1.30%,0.50%,-0.40%
Return on Capital (ROIC),1.80%,0.70%,-0.40%
Earnings Yield,1.06%,0.39%,-0.18%
FCF Yield,-0.44%,-0.40%,-0.19%
Buyback Yield / Dilution,-158.78%,-,
Total Shareholder Return,-158.78%,-,
