Year,Current,2022,2021
Market Capitalization,273,266,248
Market Cap Growth,-,7.40%,-
Enterprise Value,272,265,246
PE Ratio,29.37,28.62,-172.62
PB Ratio,-31.84,-31.84,-17.04
P/FCF Ratio,-251.20,-251.20,-436.27
P/OCF Ratio,-251.20,-251.20,-436.27
EV/EBITDA Ratio,29.25,28.55,-171.41
EV/EBIT Ratio,29.25,28.55,-171.41
EV/FCF Ratio,-250.56,-250.56,-433.23
Debt / Equity Ratio,-0.03,-0.03,0.00
Debt / EBITDA Ratio,0.03,0.03,-0.04
Debt / FCF Ratio,-0.25,-0.25,-0.11
Current Ratio,1.31,1.31,3.88
Return on Equity (ROE),-105.20%,-105.20%,39.60%
Return on Assets (ROA),4.30%,4.30%,-2.60%
Return on Capital (ROIC),4.30%,4.30%,-2.70%
Earnings Yield,3.41%,3.49%,-0.58%
FCF Yield,-0.39%,-0.40%,-0.23%
Buyback Yield / Dilution,-207.65%,-207.65%,-
Total Shareholder Return,-207.65%,-207.65%,-
