Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,"2,126","1,838","2,488","1,674","1,417",692,-,-,-
Market Cap Growth,-,-26.11%,48.60%,18.16%,104.65%,-,-,-,-
Enterprise Value,"3,053","2,785","3,546","2,420","2,304",910,470,402,297
PE Ratio,8.86,6.67,8.94,7.88,15.32,10.87,-,-,-
PS Ratio,2.55,2.15,2.79,2.16,2.31,1.68,-,-,-
PB Ratio,2.01,1.73,2.68,2.37,2.63,1.52,-,-,-
P/FCF Ratio,6.58,5.57,6.84,6.90,6.38,5.25,-,-,-
P/OCF Ratio,6.49,5.48,6.61,6.68,6.23,5.15,-,-,-
EV/Sales Ratio,3.70,3.26,3.98,3.12,3.76,2.20,1.15,1.35,1.23
EV/EBITDA Ratio,7.36,6.37,9.00,7.29,12.42,7.06,4.03,7.18,4.90
EV/EBIT Ratio,8.24,7.07,9.45,7.67,14.26,8.61,5.41,15.72,8.92
EV/FCF Ratio,9.54,8.44,9.76,9.98,10.37,6.90,5.00,10.47,7.66
Debt / Equity Ratio,0.94,0.93,1.21,1.09,1.72,0.59,2.09,1.26,1.25
Debt / EBITDA Ratio,2.38,2.25,2.86,2.32,4.99,2.09,4.14,7.48,5.15
Debt / FCF Ratio,3.08,2.99,3.10,3.17,4.16,2.04,5.14,10.90,8.05
Asset Turnover,0.32,0.33,0.45,0.45,0.47,0.52,0.50,0.41,-
Return on Equity (ROE),24.00%,26.50%,33.00%,33.20%,18.50%,14.80%,9.20%,-2.10%,-
Return on Assets (ROA),9.90%,10.70%,14.10%,12.20%,7.10%,8.10%,3.10%,-0.80%,-
Return on Capital (ROIC),30.70%,32.10%,39.30%,32.90%,22.30%,28.70%,15.70%,5.70%,-
Earnings Yield,12.04%,14.99%,11.19%,12.69%,6.53%,9.20%,-,-,-
FCF Yield,15.20%,17.95%,14.61%,14.49%,15.68%,19.04%,-,-,-
Dividend Yield,3.37%,3.93%,1.58%,1.01%,0.52%,-,-,-,-
Payout Ratio,28.80%,24.90%,12.90%,7.30%,7.30%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,5.33%,2.54%,-0.59%,-0.34%,-4.19%,-18.35%,-19.11%,-4.01%,-
Total Shareholder Return,8.73%,6.47%,0.99%,0.67%,-3.67%,-18.35%,-19.11%,-4.01%,-
