Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,"67,791","81,193","221,568","274,410","127,012","99,088","88,485","47,626","44,225",-
Market Cap Growth,-,-63.36%,-19.26%,116.05%,28.18%,11.98%,85.79%,7.69%,-,-
Enterprise Value,"60,306","73,311","215,271","267,497","117,244","89,445","76,078","37,303","36,630","-4,723"
PE Ratio,25.83,33.57,53.15,65.31,51.65,48.17,49.30,33.99,36.01,-
PS Ratio,2.42,2.95,8.73,12.79,7.15,6.41,6.76,4.39,4.78,-
PB Ratio,3.42,4.01,10.20,13.71,7.52,6.44,5.53,3.24,3.21,-
P/FCF Ratio,13.44,15.88,45.27,50.14,37.53,21.26,47.47,19.13,23.91,-
P/OCF Ratio,11.84,13.97,38.22,44.12,31.20,18.08,34.96,15.08,17.37,-
EV/Sales Ratio,2.15,2.66,8.48,12.47,6.60,5.79,5.81,3.44,3.96,-0.59
EV/EBITDA Ratio,11.89,15.65,40.13,42.77,29.99,28.38,25.32,15.84,17.48,-2.66
EV/EBIT Ratio,15.82,21.78,52.52,52.81,39.11,37.65,34.58,22.87,24.62,-3.75
EV/FCF Ratio,11.92,14.34,43.99,48.88,34.65,19.19,40.81,14.99,19.80,-2.73
Debt / Equity Ratio,0.53,0.51,0.37,0.45,0.29,0.13,0.06,-,-,0.13
Debt / EBITDA Ratio,2.07,2.22,1.50,1.43,1.27,0.63,0.33,-,-,0.62
Debt / FCF Ratio,2.07,2.04,1.64,1.63,1.47,0.43,0.54,-,-,0.63
Current Ratio,1.29,1.27,1.22,1.33,1.43,1.27,1.43,1.53,1.52,1.32
Asset Turnover,0.36,0.36,0.34,0.34,0.36,0.36,0.36,0.35,0.36,0.39
Return on Equity (ROE),13.50%,12.00%,19.80%,23.30%,15.20%,13.70%,11.80%,10.00%,11.20%,5.40%
Return on Assets (ROA),3.50%,3.10%,5.60%,6.60%,5.00%,4.80%,4.90%,4.50%,4.80%,2.00%
Return on Capital (ROIC),15.20%,13.70%,17.20%,23.30%,25.20%,29.00%,20.20%,17.40%,21.80%,35.90%
Earnings Yield,3.98%,2.98%,1.88%,1.53%,1.94%,2.08%,2.03%,2.94%,2.78%,-
FCF Yield,7.44%,6.30%,2.21%,1.99%,2.66%,4.70%,2.11%,5.23%,4.18%,-
Buyback Yield / Dilution,3.24%,2.36%,0.08%,0.08%,1.25%,1.47%,-0.25%,0.90%,-0.41%,-
Total Shareholder Return,3.24%,2.36%,0.08%,0.08%,1.25%,1.47%,-0.25%,0.90%,-0.41%,-
