Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,213,233,209,128,191,136,-,-
Market Cap Growth,-,11.85%,62.45%,-32.65%,40.21%,-,-,-
Enterprise Value,36,124,4,-25,74,8,-94,-68
PE Ratio,6.50,7.87,9.01,6.67,23.18,5.44,-,-
PS Ratio,2.90,3.44,4.07,2.95,4.38,3.34,-,-
PB Ratio,1.38,1.62,1.64,1.20,1.91,1.54,-,-
P/FCF Ratio,5.18,5.45,7.10,5.17,11.57,4.86,-,-
P/OCF Ratio,5.18,5.88,6.97,5.09,9.94,5.04,-,-
EV/Sales Ratio,0.48,1.83,0.07,-0.59,1.69,0.19,-2.46,-2.27
EV/EBITDA Ratio,0.79,3.06,0.12,-0.94,4.62,0.29,-3.80,-3.85
EV/EBIT Ratio,0.82,3.16,0.12,-0.98,4.88,0.31,-3.97,-4.03
EV/FCF Ratio,0.87,2.90,0.13,-1.03,4.46,0.28,-4.31,-3.98
Debt / Equity Ratio,-,-,-,-,-,-,0.08,0.12
Debt / EBITDA Ratio,-,-,-,-,-,-,0.23,0.36
Debt / FCF Ratio,-,-,-,-,-,-,0.26,0.38
Asset Turnover,0.05,0.05,0.04,0.04,0.05,0.06,0.06,-
Return on Equity (ROE),23.40%,22.00%,19.40%,18.70%,8.40%,31.70%,38.30%,-
Return on Assets (ROA),2.10%,2.00%,2.00%,1.90%,1.00%,3.40%,3.60%,-
Return on Capital (ROIC),3.10%,2.80%,3.20%,3.00%,2.20%,4.10%,4.10%,-
Earnings Yield,15.52%,12.70%,11.10%,15.00%,4.31%,18.38%,-,-
FCF Yield,19.31%,18.34%,14.08%,19.33%,8.64%,20.56%,-,-
Dividend Yield,2.41%,2.05%,1.96%,2.99%,3.19%,-,-,-
Payout Ratio,15.50%,16.00%,17.60%,20.00%,74.10%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-0.90%,-1.24%,3.07%,7.57%,-23.18%,-13.04%,-,-
Total Shareholder Return,1.51%,0.81%,5.03%,10.56%,-19.99%,-13.04%,-,-
