Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Market Capitalization,"5,553","6,636","6,664","6,420","4,917","4,351","4,869","4,988","3,352","3,862","4,181",Upgrade
Market Cap Growth,-,-0.41%,3.80%,30.56%,13.01%,-10.63%,-2.38%,48.81%,-13.22%,-7.61%,76.40%,Upgrade
Enterprise Value,"8,947","8,490","4,564","5,466","6,150","5,256","5,306","5,861","3,594","3,676","4,299",Upgrade
PE Ratio,10.21,12.65,12.83,12.14,14.79,13.52,17.89,18.17,11.69,12.99,18.88,Upgrade
PS Ratio,4.80,5.77,5.88,5.62,6.03,5.97,6.77,6.86,4.51,4.99,7.25,Upgrade
PB Ratio,0.82,0.99,1.04,1.05,0.82,1.07,1.27,1.37,0.97,1.19,1.50,Upgrade
P/FCF Ratio,12.97,14.00,9.52,11.18,12.62,13.68,12.50,14.54,10.66,10.58,14.12,Upgrade
P/OCF Ratio,12.32,13.10,9.59,11.02,12.20,13.59,12.46,14.92,10.78,11.09,13.59,Upgrade
EV/Sales Ratio,7.73,7.38,4.03,4.79,7.54,7.21,7.38,8.06,4.83,4.75,7.45,Upgrade
EV/EBITDA Ratio,12.82,12.23,6.62,8.08,13.99,12.47,12.48,13.60,7.94,7.83,12.40,Upgrade
EV/EBIT Ratio,13.36,12.74,6.92,8.47,14.67,13.04,13.07,14.34,8.36,8.25,13.03,Upgrade
EV/FCF Ratio,20.89,17.91,6.52,9.52,15.78,16.52,13.62,17.09,11.43,10.07,14.52,Upgrade
Debt / Equity Ratio,0.56,0.34,0.07,0.06,0.30,0.32,0.22,0.36,0.23,0.15,0.18,Upgrade
Debt / EBITDA Ratio,5.45,3.28,0.65,0.58,4.11,3.12,1.95,3.04,1.78,1.05,1.44,Upgrade
Debt / FCF Ratio,8.87,4.80,0.64,0.68,4.64,4.14,2.13,3.82,2.56,1.35,1.69,Upgrade
Asset Turnover,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.04,Upgrade
Return on Equity (ROE),7.90%,8.00%,8.20%,8.80%,7.30%,8.10%,7.20%,7.70%,8.50%,9.60%,9.20%,Upgrade
Return on Assets (ROA),1.40%,1.40%,1.40%,1.60%,1.30%,1.40%,1.20%,1.30%,1.30%,1.40%,1.30%,Upgrade
Return on Capital (ROIC),1.90%,1.90%,2.10%,2.20%,1.80%,1.80%,1.90%,2.00%,2.10%,2.30%,2.10%,Upgrade
Earnings Yield,9.49%,7.90%,7.79%,8.24%,6.76%,7.40%,5.59%,5.50%,8.55%,7.70%,5.30%,Upgrade
FCF Yield,7.71%,7.15%,10.50%,8.94%,7.93%,7.31%,8.00%,6.88%,9.38%,9.45%,7.08%,Upgrade
Dividend Yield,3.63%,2.90%,2.75%,2.70%,2.35%,2.39%,1.97%,1.73%,2.34%,1.79%,1.40%,Upgrade
Payout Ratio,37.10%,36.80%,35.50%,32.90%,37.40%,32.30%,35.20%,31.50%,27.40%,23.00%,24.30%,Upgrade
Buyback Yield / Dilution,0.92%,0.93%,0.43%,-35.33%,2.07%,-0.51%,-0.00%,0.78%,-0.37%,-5.79%,-16.88%,Upgrade
Total Shareholder Return,4.56%,3.83%,3.18%,-32.63%,4.42%,1.88%,1.97%,2.51%,1.96%,-3.99%,-15.47%,Upgrade
