Year,Current,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 2008
Market Capitalization,"56,709","43,076","49,777","33,516","49,718","60,097","51,260","42,492","54,724","61,158","57,693",Upgrade
Market Cap Growth,-,-13.46%,48.52%,-32.59%,-17.27%,17.24%,20.63%,-22.35%,-10.52%,6.00%,22.89%,Upgrade
Enterprise Value,"-152,777","-166,410","-193,404","-150,057","-168,490","-144,048","-96,451","-107,582","-31,601","-37,822","140,258",Upgrade
PE Ratio,9.16,10.51,7.89,18.08,10.09,9.04,9.05,5.65,10.69,8.21,10.14,Upgrade
PS Ratio,2.20,1.67,1.71,1.34,1.73,1.82,1.70,1.29,1.97,1.95,1.88,Upgrade
PB Ratio,0.58,0.44,0.47,0.36,0.51,0.64,0.57,0.52,0.70,0.82,0.84,Upgrade
P/FCF Ratio,1.38,1.05,0.30,0.41,2.30,0.64,1.66,-2.08,0.88,0.94,2.49,Upgrade
P/OCF Ratio,1.36,1.03,0.30,0.41,1.96,0.61,1.52,-2.50,0.84,0.90,2.29,Upgrade
EV/Sales Ratio,-6.47,-6.47,-6.65,-5.99,-5.85,-4.36,-3.19,-3.28,-1.14,-1.21,4.56,Upgrade
EV/EBITDA Ratio,-20.65,-20.65,-16.86,-28.46,-19.61,-12.67,-9.99,-8.20,-3.00,-2.78,13.34,Upgrade
EV/EBIT Ratio,-30.69,-30.69,-22.43,-64.30,-25.52,-16.64,-13.92,-9.93,-3.70,-3.30,16.70,Upgrade
EV/FCF Ratio,-4.04,-4.04,-1.16,-1.84,-7.78,-1.53,-3.13,5.27,-0.51,-0.58,6.05,Upgrade
Debt / Equity Ratio,4.36,4.36,4.25,4.27,3.39,3.12,3.31,3.00,3.33,3.16,3.24,Upgrade
Debt / EBITDA Ratio,53.07,53.07,39.36,76.57,38.33,25.58,30.71,18.73,24.58,17.34,21.15,Upgrade
Debt / FCF Ratio,10.38,10.38,2.70,4.94,15.21,3.09,9.61,-12.03,4.19,3.63,9.59,Upgrade
Asset Turnover,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,Upgrade
Return on Equity (ROE),4.20%,4.20%,6.30%,1.90%,5.10%,7.40%,6.60%,9.10%,7.20%,10.80%,9.10%,Upgrade
Return on Assets (ROA),0.20%,0.20%,0.30%,0.10%,0.30%,0.40%,0.30%,0.50%,0.40%,0.50%,0.40%,Upgrade
Return on Capital (ROIC),0.30%,0.30%,0.50%,0.10%,0.40%,0.60%,0.50%,0.70%,0.60%,0.80%,0.50%,Upgrade
Earnings Yield,7.23%,9.51%,12.68%,5.53%,9.91%,11.06%,11.05%,17.69%,9.36%,12.18%,9.86%,Upgrade
FCF Yield,72.62%,95.60%,336.37%,243.85%,43.54%,156.69%,60.18%,-48.05%,113.03%,106.15%,40.15%,Upgrade
Dividend Yield,20.09%,-,-,-,0.43%,0.72%,0.68%,0.35%,0.51%,0.72%,0.64%,Upgrade
Payout Ratio,0.00%,0.00%,0.00%,0.00%,21.30%,32.30%,29.70%,9.50%,26.30%,28.60%,30.90%,Upgrade
Buyback Yield / Dilution,2.83%,-0.06%,1.87%,1.06%,-0.03%,-,-,-,-,-,-,Upgrade
Total Shareholder Return,22.92%,-0.06%,1.87%,1.06%,0.40%,0.72%,0.68%,0.35%,0.51%,0.72%,0.64%,Upgrade
