Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,27,51,121,133,227,178,229,272,300,407,432,Upgrade
Market Cap Growth,-,-58.29%,-8.99%,-41.20%,27.37%,-22.15%,-16.01%,-9.15%,-26.39%,-5.85%,39.90%,Upgrade
Enterprise Value,14,33,99,120,204,202,285,294,287,320,305,Upgrade
PE Ratio,-2.53,-3.55,4.49,-3.54,4.16,-11.39,-2.58,-12.23,-5.03,-79.05,-12.17,Upgrade
PB Ratio,0.99,1.46,2.40,2.12,2.23,2.66,2.80,1.60,1.53,1.58,1.52,Upgrade
P/FCF Ratio,-8.79,-15.53,-14.88,-16.37,-11.35,-6.84,-10.99,-14.26,-15.28,-20.10,-20.34,Upgrade
P/OCF Ratio,-8.79,-15.53,-14.88,-16.37,-11.35,-6.84,-10.99,-14.59,-16.88,-20.16,-20.37,Upgrade
EV/EBITDA Ratio,-1.00,-2.36,3.62,-3.22,2.93,178.76,-3.58,-17.01,-5.23,-476.11,-9.79,Upgrade
EV/EBIT Ratio,-0.98,-2.31,3.65,-3.19,2.98,461.18,-3.57,-16.70,-5.21,-428.95,-9.76,Upgrade
EV/FCF Ratio,-3.38,-10.12,-12.10,-14.75,-10.24,-7.76,-13.72,-15.42,-14.63,-15.82,-14.33,Upgrade
Debt / Equity Ratio,0.05,0.05,0.04,0.04,0.03,1.05,1.05,0.31,0.26,0.20,0.18,Upgrade
Debt / EBITDA Ratio,-0.15,-0.12,0.08,-0.06,0.04,62.10,-1.08,-3.04,-0.93,-75.13,-1.60,Upgrade
Debt / FCF Ratio,-0.49,-0.52,-0.25,-0.29,-0.14,-2.70,-4.12,-2.75,-2.60,-2.50,-2.35,Upgrade
Current Ratio,17.48,11.79,17.46,4.63,10.85,1.42,0.73,5.55,10.86,21.18,21.92,Upgrade
Return on Equity (ROE),-29.60%,-35.30%,35.00%,-51.30%,49.70%,-22.50%,-79.10%,-11.90%,-27.10%,-1.80%,-12.70%,Upgrade
Return on Assets (ROA),-27.50%,-32.90%,32.80%,-47.50%,37.00%,-9.80%,-44.70%,-8.90%,-21.20%,-1.50%,-10.40%,Upgrade
Return on Capital (ROIC),-42.20%,-52.20%,56.00%,-60.40%,69.00%,0.20%,-38.70%,-7.00%,-20.80%,-0.30%,-11.40%,Upgrade
Earnings Yield,-35.46%,-28.19%,22.26%,-28.22%,24.07%,-8.78%,-38.74%,-8.18%,-19.87%,-1.27%,-8.22%,Upgrade
FCF Yield,-10.23%,-6.44%,-6.72%,-6.11%,-8.81%,-14.63%,-9.10%,-7.01%,-6.54%,-4.97%,-4.92%,Upgrade
Dividend Yield,-,-,-,9.10%,-,-,-,-,-,-,Upgrade,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,37.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,3.10%,17.60%,4.45%,-0.56%,-0.45%,-0.56%,-0.43%,2.54%,0.48%,1.81%,-1.85%,Upgrade
Total Shareholder Return,3.10%,17.60%,4.45%,-0.56%,8.66%,-0.56%,-0.43%,2.54%,0.48%,1.81%,-1.85%,Upgrade
