Year,Current,2022
Market Capitalization,303,297
Enterprise Value,304,296
PE Ratio,117.22,157.04
PB Ratio,-33.29,-41.84
P/FCF Ratio,-183.24,-153.61
P/OCF Ratio,-183.24,-153.61
EV/EBITDA Ratio,124.71,156.71
EV/EBIT Ratio,124.71,156.71
EV/FCF Ratio,-183.37,-153.30
Debt / Equity Ratio,-0.07,-
Debt / EBITDA Ratio,0.25,-
Debt / FCF Ratio,-0.37,-
Current Ratio,1.05,10.46
Return on Equity (ROE),-33.50%,-29.30%
Return on Assets (ROA),1.00%,0.80%
Return on Capital (ROIC),1.00%,0.80%
Earnings Yield,0.80%,0.64%
FCF Yield,-0.54%,-0.65%
Buyback Yield / Dilution,-18.49%,-452.88%
Total Shareholder Return,-18.49%,-452.88%
