Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"2,455","3,383","4,017","3,336","3,668","2,984","2,720","2,742","1,642","1,548","1,601",Upgrade
Market Cap Growth,-,-15.79%,20.40%,-9.04%,22.91%,9.70%,-0.80%,67.06%,6.04%,-3.33%,47.85%,Upgrade
Enterprise Value,"2,646","4,310","2,472","2,062","3,808","3,186","2,985","2,817","1,892","1,850","1,696",Upgrade
PE Ratio,16.86,17.99,21.18,20.26,21.69,17.70,18.05,26.42,17.99,16.95,20.31,Upgrade
PS Ratio,3.92,5.09,6.38,5.73,6.31,5.35,5.36,6.51,4.49,4.35,4.82,Upgrade
PB Ratio,1.50,2.18,1.91,1.59,1.98,1.74,1.66,2.29,1.44,1.57,1.83,Upgrade
P/FCF Ratio,10.70,16.57,21.21,20.21,18.64,14.29,15.21,22.24,15.32,14.24,17.93,Upgrade
P/OCF Ratio,10.23,15.76,19.83,18.59,18.11,13.48,14.34,20.20,13.73,12.68,15.52,Upgrade
EV/Sales Ratio,4.23,6.49,3.93,3.54,6.55,5.71,5.89,6.68,5.18,5.19,5.10,Upgrade
EV/EBITDA Ratio,12.16,15.92,9.10,8.71,15.76,12.88,15.43,16.10,12.66,12.54,13.22,Upgrade
EV/EBIT Ratio,14.11,17.94,10.24,10.00,18.19,14.96,18.66,18.22,14.31,14.26,15.27,Upgrade
EV/FCF Ratio,11.54,21.12,13.05,12.49,19.35,15.26,16.69,22.84,17.65,17.01,18.98,Upgrade
Debt / Equity Ratio,0.23,0.73,0.16,0.18,0.19,0.24,0.30,0.21,0.35,0.45,0.28,Upgrade
Debt / EBITDA Ratio,1.75,4.20,1.22,1.57,1.43,1.67,2.51,1.42,2.70,2.98,1.90,Upgrade
Debt / FCF Ratio,1.66,5.57,1.74,2.25,1.75,1.98,2.72,2.01,3.76,4.05,2.73,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),9.30%,11.50%,9.20%,8.00%,9.30%,10.10%,9.90%,8.50%,8.70%,9.50%,9.10%,Upgrade
Return on Assets (ROA),0.90%,1.20%,1.30%,1.20%,1.50%,1.60%,1.50%,1.20%,1.10%,1.20%,1.10%,Upgrade
Return on Capital (ROIC),1.20%,1.60%,2.00%,1.80%,2.10%,2.10%,1.60%,1.90%,1.70%,1.80%,1.60%,Upgrade
Earnings Yield,5.98%,5.56%,4.72%,4.94%,4.61%,5.65%,5.54%,3.79%,5.56%,5.90%,4.92%,Upgrade
FCF Yield,9.34%,6.03%,4.71%,4.95%,5.37%,7.00%,6.57%,4.50%,6.53%,7.02%,5.58%,Upgrade
Dividend Yield,3.83%,2.76%,2.28%,2.66%,2.23%,2.47%,2.46%,2.04%,3.05%,3.04%,2.77%,Upgrade
Payout Ratio,64.30%,50.00%,48.40%,53.50%,48.50%,43.90%,43.00%,53.80%,55.20%,51.80%,56.10%,Upgrade
Buyback Yield / Dilution,0.17%,0.36%,-0.73%,-3.56%,-1.01%,-1.14%,-14.03%,-7.98%,-1.24%,-0.60%,-1.95%,Upgrade
Total Shareholder Return,4.00%,3.13%,1.56%,-0.89%,1.22%,1.33%,-11.58%,-5.94%,1.82%,2.44%,0.83%,Upgrade
