Year,Current,2022,2021,2020
Market Capitalization,532,649,622,524
Market Cap Growth,-,4.29%,18.81%,-
Enterprise Value,535,652,623,523
PE Ratio,57.94,58.62,73.60,-90.37
PB Ratio,-101.08,-101.08,-36.94,-20.47
P/FCF Ratio,38866.73,47418.53,-,-
P/OCF Ratio,38866.73,47418.53,-,-
EV/EBITDA Ratio,44.56,54.32,73.70,-90.29
EV/EBIT Ratio,44.56,54.32,73.70,-90.29
EV/FCF Ratio,39059.49,47611.30,-,-
Debt / Equity Ratio,-0.47,-0.47,-0.05,-
Debt / EBITDA Ratio,0.25,0.25,0.10,-
Debt / FCF Ratio,219.83,219.83,-,-
Current Ratio,0.07,0.07,0.25,1.48
Return on Equity (ROE),-167.30%,-167.30%,-133.30%,-
Return on Assets (ROA),2.80%,2.80%,1.70%,-
Return on Capital (ROIC),3.00%,3.00%,1.70%,-
Earnings Yield,2.08%,1.71%,1.36%,-1.11%
FCF Yield,0.00%,0.00%,-,-
Buyback Yield / Dilution,1.54%,1.54%,-435.52%,-
Total Shareholder Return,1.54%,1.54%,-435.52%,-
