Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2008
Market Capitalization,497,347,856,417,366,466,292,402,380,475,615,Upgrade
Market Cap Growth,-,-59.52%,105.13%,14.05%,-21.49%,59.40%,-27.27%,5.96%,-20.12%,-22.73%,190.36%,Upgrade
Enterprise Value,378,321,288,168,310,476,274,260,241,287,449,Upgrade
PE Ratio,-10.45,-5.92,461.39,15.14,13.77,26.30,-42.43,13.86,5.76,7.58,9.40,Upgrade
PS Ratio,0.97,0.69,2.10,1.35,1.51,2.02,1.20,1.52,1.33,1.79,2.55,Upgrade
PB Ratio,2.69,2.13,2.65,2.08,1.97,2.57,1.51,1.65,1.60,2.60,3.83,Upgrade
P/FCF Ratio,9.65,42.55,9.19,3.63,7.15,17.65,20.46,4.12,8.54,5.38,11.82,Upgrade
P/OCF Ratio,11.63,-28890.70,8.87,5.40,6.77,16.30,17.58,4.56,8.38,5.36,11.09,Upgrade
EV/Sales Ratio,0.75,0.64,0.71,0.54,1.28,2.06,1.12,0.99,0.84,1.08,1.86,Upgrade
EV/EBITDA Ratio,-10.08,-5.68,16.17,2.93,5.34,8.50,25.49,4.11,1.97,2.46,4.00,Upgrade
EV/EBIT Ratio,-8.07,-4.98,23.49,3.45,6.31,10.58,239.39,4.50,2.06,2.57,4.08,Upgrade
EV/FCF Ratio,7.52,39.44,3.09,1.46,6.06,18.03,19.14,2.67,5.43,3.25,8.62,Upgrade
Debt / Equity Ratio,1.10,1.31,0.19,0.92,0.94,1.38,1.23,0.57,0.54,0.69,0.79,Upgrade
Debt / EBITDA Ratio,-5.63,-3.76,3.52,3.21,2.99,4.47,22.16,2.19,1.06,1.08,1.13,Upgrade
Debt / FCF Ratio,3.93,26.07,0.67,1.60,3.40,9.47,16.64,1.42,2.91,1.43,2.44,Upgrade
Asset Turnover,0.29,0.31,0.38,0.35,0.31,0.28,0.28,0.40,0.43,0.45,0.52,Upgrade
Return on Equity (ROE),-23.30%,-26.10%,0.70%,14.40%,14.30%,9.40%,-3.20%,12.00%,29.30%,35.50%,42.20%,Upgrade
Return on Assets (ROA),-2.50%,-3.70%,0.20%,3.10%,3.40%,2.20%,-0.80%,4.40%,9.80%,10.70%,14.00%,Upgrade
Return on Capital (ROIC),-2.70%,-4.70%,2.00%,7.30%,6.60%,5.50%,0.10%,11.50%,22.70%,27.20%,45.50%,Upgrade
Earnings Yield,-9.08%,-16.88%,0.22%,6.61%,7.26%,3.80%,-2.36%,7.22%,17.35%,13.19%,10.64%,Upgrade
FCF Yield,10.36%,2.35%,10.88%,27.52%,13.98%,5.66%,4.89%,24.27%,11.71%,18.58%,8.46%,Upgrade
Dividend Yield,2.77%,4.04%,1.92%,3.06%,3.50%,2.90%,4.68%,3.04%,3.44%,2.54%,1.78%,Upgrade
Payout Ratio,-32.70%,-25.60%,695.70%,45.10%,48.20%,63.00%,-186.70%,40.70%,18.40%,18.60%,16.30%,Upgrade
Buyback Yield / Dilution,16.73%,14.57%,-28.42%,0.45%,12.61%,6.20%,3.97%,6.47%,0.89%,4.40%,-12.83%,Upgrade
Total Shareholder Return,19.57%,18.61%,-26.51%,3.51%,16.12%,9.10%,8.65%,9.51%,4.33%,6.95%,-11.06%,Upgrade
