Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,978,"1,328","3,788","1,929",766,595,951,633,485,-,-,Upgrade
Market Cap Growth,-,-64.94%,96.41%,151.86%,28.81%,-37.48%,50.17%,30.52%,-,-,-,Upgrade
Enterprise Value,542,991,"3,898","3,146",537,272,679,416,401,8,-21,Upgrade
PE Ratio,6.96,7.54,22.69,32.40,42.47,11.56,9.46,45.98,23.53,-,-,Upgrade
PS Ratio,1.96,2.53,8.58,8.04,4.07,2.99,3.94,5.12,4.57,-,-,Upgrade
PB Ratio,1.19,1.64,5.30,3.40,1.44,1.21,2.18,2.84,2.43,-,-,Upgrade
P/FCF Ratio,10.59,16.45,-33.31,-7.07,-1.51,-5.71,-2.31,-2.72,-1.33,-,-,Upgrade
P/OCF Ratio,7.73,10.67,-31.65,-7.39,-1.59,94.47,-3.31,-2.85,-1.45,-,-,Upgrade
EV/Sales Ratio,1.09,1.89,8.82,13.11,2.85,1.37,2.81,3.36,3.78,0.11,-0.31,Upgrade
EV/EBITDA Ratio,2.83,4.29,16.79,45.55,12.37,4.36,6.26,19.37,10.59,0.41,-0.72,Upgrade
EV/EBIT Ratio,3.17,4.71,18.49,66.39,22.89,5.91,6.91,24.16,11.64,0.46,-0.76,Upgrade
EV/FCF Ratio,5.86,12.27,-34.28,-11.53,-1.06,-2.61,-1.65,-1.79,-1.10,-0.03,0.41,Upgrade
Debt / Equity Ratio,0.04,0.10,0.45,2.72,0.00,0.00,0.06,0.12,0.14,0.52,0.33,Upgrade
Debt / EBITDA Ratio,0.16,0.36,1.37,22.32,0.00,0.02,0.24,1.30,0.75,2.45,0.54,Upgrade
Debt / FCF Ratio,0.33,1.03,-2.80,-5.65,0.00,-0.01,-0.06,-0.12,-0.08,-0.18,-0.31,Upgrade
Asset Turnover,0.05,0.06,0.05,0.03,0.04,0.06,0.10,0.08,0.12,0.13,0.18,Upgrade
Return on Equity (ROE),17.60%,22.60%,25.20%,10.70%,3.50%,10.90%,31.80%,6.50%,14.20%,14.30%,68.90%,Upgrade
Return on Assets (ROA),1.50%,1.90%,2.00%,0.80%,0.40%,1.50%,4.30%,0.90%,2.40%,1.80%,7.30%,Upgrade
Return on Capital (ROIC),1.90%,2.40%,2.40%,0.60%,0.60%,1.50%,4.70%,1.40%,4.40%,3.40%,8.40%,Upgrade
Earnings Yield,14.53%,13.27%,4.41%,3.09%,2.35%,8.65%,10.57%,2.17%,4.25%,-,-,Upgrade
FCF Yield,9.45%,6.08%,-3.00%,-14.15%,-66.44%,-17.52%,-43.29%,-36.76%,-75.25%,-,-,Upgrade
Dividend Yield,0.54%,0.40%,0.14%,0.25%,0.63%,0.81%,0.42%,0.38%,0.14%,-,-,Upgrade
Payout Ratio,3.70%,3.00%,3.10%,8.20%,26.70%,9.40%,3.60%,17.50%,3.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,-0.98%,-1.34%,-6.79%,-0.88%,-0.35%,-0.68%,-16.48%,-0.18%,-4.64%,-,-,Upgrade
Total Shareholder Return,-0.44%,-0.95%,-6.65%,-0.63%,0.28%,0.13%,-16.07%,0.20%,-4.50%,-,-,Upgrade
