Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1998
Market Capitalization,165,215,217,158,206,199,228,171,128,128,157,Upgrade
Market Cap Growth,-,-0.95%,37.03%,-23.25%,3.73%,-12.91%,33.38%,33.37%,0.33%,-18.62%,14.86%,Upgrade
Enterprise Value,228,264,215,61,96,73,272,138,166,181,163,Upgrade
PE Ratio,5.59,7.46,8.20,8.21,13.20,10.12,30.69,17.05,13.59,15.66,17.98,Upgrade
PS Ratio,1.67,2.23,2.42,1.98,2.76,2.47,3.33,2.41,1.84,1.77,2.53,Upgrade
PB Ratio,0.92,1.29,1.02,0.79,1.13,1.20,1.52,1.19,0.93,0.96,1.13,Upgrade
P/FCF Ratio,4.20,6.20,6.17,5.69,8.07,7.64,10.28,8.36,9.87,8.06,8.15,Upgrade
P/OCF Ratio,4.11,6.12,6.11,5.52,7.80,7.15,9.64,7.72,9.08,6.93,6.83,Upgrade
EV/Sales Ratio,2.34,2.75,2.41,0.76,1.29,0.91,3.97,1.95,2.39,2.51,2.64,Upgrade
EV/EBITDA Ratio,5.67,6.63,5.78,2.16,4.10,2.62,14.10,7.04,8.64,10.65,9.77,Upgrade
EV/EBIT Ratio,6.12,7.17,6.37,2.54,5.05,3.08,18.48,9.58,11.81,15.28,13.01,Upgrade
EV/FCF Ratio,5.87,7.64,6.13,2.18,3.77,2.80,12.24,6.76,12.81,11.44,8.48,Upgrade
Debt / Equity Ratio,0.56,0.64,0.12,0.06,0.07,0.03,0.50,0.29,0.47,0.62,0.42,Upgrade
Debt / EBITDA Ratio,2.48,2.65,0.69,0.40,0.52,0.15,3.85,2.11,3.34,4.86,3.47,Upgrade
Debt / FCF Ratio,2.56,3.05,0.73,0.40,0.48,0.17,3.35,2.03,4.96,5.22,3.01,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.05,Upgrade
Return on Equity (ROE),17.30%,16.90%,12.90%,9.90%,8.70%,12.60%,4.90%,7.00%,6.90%,5.90%,6.50%,Upgrade
Return on Assets (ROA),1.10%,1.10%,1.10%,0.90%,0.90%,1.10%,0.40%,0.60%,0.60%,0.50%,0.70%,Upgrade
Return on Capital (ROIC),1.40%,1.50%,1.40%,1.20%,1.20%,1.40%,0.90%,0.90%,0.90%,0.80%,0.90%,Upgrade
Earnings Yield,17.87%,13.41%,12.20%,12.18%,7.58%,9.88%,3.26%,5.87%,7.36%,6.38%,5.56%,Upgrade
FCF Yield,23.83%,16.13%,16.20%,17.58%,12.39%,13.09%,9.73%,11.96%,10.13%,12.41%,12.27%,Upgrade
Dividend Yield,3.48%,2.71%,2.57%,3.16%,2.46%,2.53%,2.19%,2.90%,3.83%,3.81%,3.09%,Upgrade
Payout Ratio,20.00%,20.20%,21.10%,25.90%,32.40%,25.60%,67.10%,49.30%,52.00%,59.80%,55.60%,Upgrade
Buyback Yield / Dilution,-0.68%,-0.21%,2.48%,1.38%,-0.77%,-0.67%,-0.80%,-0.91%,-0.77%,-0.49%,-0.41%,Upgrade
Total Shareholder Return,2.89%,2.50%,5.05%,4.53%,1.69%,1.86%,1.39%,1.99%,3.06%,3.32%,2.68%,Upgrade
