Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,600,823,778,660,829,702,833,874,612,638,714,Upgrade
Market Cap Growth,-,5.76%,17.92%,-20.44%,18.08%,-15.71%,-4.64%,42.68%,-4.06%,-10.55%,39.45%,Upgrade
Enterprise Value,656,986,809,750,873,855,969,"1,047",842,902,890,Upgrade
PE Ratio,7.34,10.06,8.85,11.09,12.85,11.86,16.18,18.46,13.19,14.76,15.80,Upgrade
PS Ratio,2.67,3.71,3.38,3.48,4.36,3.74,4.67,5.03,3.59,3.79,4.07,Upgrade
PB Ratio,0.91,1.31,1.11,1.01,1.35,1.25,1.57,1.75,1.29,1.43,1.73,Upgrade
P/FCF Ratio,6.52,8.75,6.82,10.84,10.25,11.19,13.89,15.08,11.56,11.50,8.05,Upgrade
P/OCF Ratio,6.16,8.26,6.73,10.58,9.94,10.73,13.37,14.23,11.14,11.10,7.87,Upgrade
EV/Sales Ratio,2.92,4.44,3.52,3.96,4.59,4.55,5.43,6.03,4.94,5.35,5.07,Upgrade
EV/EBITDA Ratio,6.18,9.28,7.00,9.92,11.26,11.50,13.37,14.88,12.22,13.52,12.77,Upgrade
EV/EBIT Ratio,6.50,9.76,7.31,10.68,12.13,12.11,14.15,15.76,12.96,14.45,13.66,Upgrade
EV/FCF Ratio,7.13,10.48,7.09,12.32,10.79,13.62,16.16,18.08,15.90,16.24,10.04,Upgrade
Debt / Equity Ratio,0.44,0.46,0.49,0.65,0.50,0.52,0.59,0.64,0.88,0.82,0.69,Upgrade
Debt / EBITDA Ratio,2.75,2.75,2.96,5.67,3.98,3.95,4.29,4.52,6.06,5.53,4.06,Upgrade
Debt / FCF Ratio,3.17,3.10,3.00,7.04,3.81,4.68,5.19,5.49,7.88,6.64,3.19,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),12.90%,13.00%,12.90%,9.40%,10.80%,10.80%,9.90%,9.60%,10.00%,9.90%,11.10%,Upgrade
Return on Assets (ROA),1.50%,1.50%,1.60%,1.20%,1.50%,1.40%,1.30%,1.20%,1.20%,1.20%,1.20%,Upgrade
Return on Capital (ROIC),1.80%,1.80%,2.10%,1.40%,1.70%,1.70%,1.60%,1.60%,1.60%,1.60%,1.70%,Upgrade
Earnings Yield,13.56%,9.94%,11.30%,9.02%,7.78%,8.43%,6.18%,5.42%,7.58%,6.78%,6.33%,Upgrade
FCF Yield,15.34%,11.43%,14.67%,9.23%,9.76%,8.93%,7.20%,6.63%,8.65%,8.70%,12.42%,Upgrade
Dividend Yield,5.15%,3.64%,3.59%,4.12%,3.17%,3.48%,2.75%,2.53%,3.48%,3.22%,2.79%,Upgrade
Payout Ratio,37.60%,36.60%,31.80%,45.70%,40.70%,41.20%,44.50%,46.70%,45.90%,47.20%,43.90%,Upgrade
Buyback Yield / Dilution,-0.29%,-0.26%,-0.27%,-0.09%,-0.21%,-0.28%,-0.50%,-0.47%,-0.49%,-0.91%,-0.98%,Upgrade
Total Shareholder Return,4.86%,3.38%,3.32%,4.03%,2.96%,3.19%,2.26%,2.06%,2.99%,2.31%,1.81%,Upgrade
