Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,667,784,743,705,983,782,723,"1,015",634,"1,103"
Market Cap Growth,-,5.53%,5.48%,-28.30%,25.72%,8.09%,-28.77%,60.05%,-42.47%,-
Enterprise Value,"3,919","4,469","7,166","7,902","8,278","8,897","13,251","13,190","14,046","14,874"
PE Ratio,1.38,1.50,-43.72,-1.61,-4.55,4.20,-2.20,13.57,1.29,2.28
PS Ratio,1.50,1.55,2.64,4.52,1.98,1.53,1.16,2.00,0.98,3.36
PB Ratio,0.53,0.63,0.72,0.65,0.67,0.49,0.52,0.59,0.38,0.79
P/FCF Ratio,0.48,0.59,-5.67,-4.03,-3.16,-0.51,-3.27,1.22,6.91,-1.14
P/OCF Ratio,0.48,0.59,-5.67,-4.03,-3.16,-0.51,-3.27,1.22,6.91,-1.14
EV/Sales Ratio,8.85,8.85,25.41,50.65,16.69,17.41,21.30,26.03,21.79,45.26
EV/EBITDA Ratio,5.83,6.04,29.25,-49.38,21.78,14.88,-80.80,57.07,22.28,23.81
EV/EBIT Ratio,6.22,6.47,38.12,-36.25,97.38,14.90,-80.31,57.37,22.39,23.95
EV/FCF Ratio,2.79,3.35,-54.70,-45.15,-26.62,-5.77,-59.96,15.89,152.99,-15.37
Debt / Equity Ratio,2.84,2.99,6.21,6.70,4.99,5.15,9.52,7.16,7.98,9.90
Debt / EBITDA Ratio,5.29,5.06,26.31,-45.20,19.41,13.71,-80.20,53.09,21.34,22.18
Debt / FCF Ratio,2.54,2.81,-49.21,-41.33,-23.72,-5.31,-59.51,14.78,146.53,-14.31
Asset Turnover,0.05,0.05,0.02,0.01,0.04,0.03,0.03,0.02,0.03,0.01
Return on Equity (ROE),45.30%,52.70%,-1.60%,-41.80%,-14.00%,10.60%,-21.30%,4.20%,31.00%,45.30%
Return on Assets (ROA),5.50%,5.40%,-0.10%,-3.40%,-1.50%,1.00%,-1.40%,0.30%,2.00%,1.80%
Return on Capital (ROIC),4.90%,4.80%,1.00%,-1.10%,0.40%,2.00%,-0.50%,0.70%,1.70%,1.60%
Earnings Yield,73.07%,66.56%,-2.29%,-62.03%,-21.98%,23.80%,-45.50%,7.37%,77.78%,43.90%
FCF Yield,210.52%,170.22%,-17.63%,-24.84%,-31.65%,-197.42%,-30.56%,81.78%,14.47%,-87.78%
Buyback Yield / Dilution,3.79%,0.26%,-0.84%,-0.42%,1.30%,-2.63%,-0.55%,-0.22%,-0.04%,-
Total Shareholder Return,3.79%,0.26%,-0.84%,-0.42%,1.30%,-2.63%,-0.55%,-0.22%,-0.04%,-
