Year,Current,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,19,66,346,94,12,39,72,-,-
Market Cap Growth,-,-80.92%,266.51%,657.86%,-67.78%,-46.15%,-,-,-
Enterprise Value,-72,-55,329,90,14,36,60,-1,0
PE Ratio,0.37,2.17,-26.42,34.44,-2.42,5.42,12.09,-,-
PS Ratio,0.08,0.41,8.20,37.36,-,1.32,2.65,-,-
PB Ratio,0.10,0.37,4.50,1.75,0.34,0.95,2.30,-,-
P/FCF Ratio,-1.24,2.79,142.38,966.00,-17.17,-4.19,120.35,-,-
P/OCF Ratio,-1.25,2.77,128.72,281.49,-17.17,-6.34,45.50,-,-
EV/Sales Ratio,-0.27,-0.34,7.80,35.50,-,1.24,2.23,-0.02,0.03
EV/EBITDA Ratio,-1.40,-1.27,-31.44,30.63,-2.62,6.97,7.11,-0.08,0.09
EV/EBIT Ratio,-1.45,-1.34,-27.08,33.40,-2.62,8.51,7.57,-0.08,0.10
EV/FCF Ratio,3.22,-2.30,135.44,917.78,-18.62,-3.93,101.35,-0.65,-0.18
Debt / Equity Ratio,0.07,0.07,0.16,0.01,0.11,0.04,0.03,0.05,0.07
Debt / EBITDA Ratio,0.28,0.28,-1.14,0.17,-0.82,0.29,0.10,0.12,0.17
Debt / FCF Ratio,-0.64,0.50,4.92,5.18,-5.80,-0.16,1.38,1.02,-0.32
Current Ratio,3.65,2.57,2.25,1.41,1.79,2.93,2.25,1.23,1.18
Asset Turnover,1.22,0.84,0.42,0.03,0,0.57,0.70,0.87,-
Return on Equity (ROE),24.90%,23.60%,-20.00%,6.00%,-13.30%,19.90%,24.90%,29.80%,-
Return on Assets (ROA),17.40%,15.90%,-13.00%,3.60%,-9.30%,14.00%,15.40%,16.60%,-
Return on Capital (ROIC),58.00%,68.40%,-29.90%,7.00%,-13.60%,14.70%,46.30%,44.70%,-
Earnings Yield,183.71%,46.04%,-3.79%,2.90%,-41.32%,18.46%,8.27%,-,-
FCF Yield,-109.07%,35.85%,0.70%,0.10%,-5.82%,-23.87%,0.83%,-,-
Buyback Yield / Dilution,-119.69%,-15.70%,-14.25%,-3.23%,-7.25%,-21.99%,-0.38%,-,-
Total Shareholder Return,-119.69%,-15.70%,-14.25%,-3.23%,-7.25%,-21.99%,-0.38%,-,-
