Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2000
Market Capitalization,778,"1,317","2,190","1,808","1,648","1,104","1,500","1,812","1,672","2,901","2,629",Upgrade
Market Cap Growth,-,-39.87%,21.14%,9.66%,49.31%,-26.38%,-17.25%,8.36%,-42.36%,10.36%,45.72%,Upgrade
Enterprise Value,"3,298","3,786","4,772","4,418","4,406","3,479","3,549","3,502","3,318","4,344","2,919",Upgrade
PE Ratio,40.67,11.24,11.96,12.11,19.13,16.84,9.13,21.01,9.96,16.44,15.00,Upgrade
PS Ratio,0.88,1.36,2.00,1.70,1.66,1.26,1.84,2.18,1.78,3.29,3.58,Upgrade
PB Ratio,0.67,1.07,1.70,1.35,1.41,1.01,1.38,2.10,2.09,3.22,3.02,Upgrade
P/FCF Ratio,-115.96,157.85,29.71,14.52,14.29,18.30,-203.61,9.45,8.87,11.91,12.56,Upgrade
P/OCF Ratio,-476.82,60.98,25.79,12.76,12.36,13.65,96.91,8.80,8.24,10.83,11.68,Upgrade
EV/Sales Ratio,3.74,3.92,4.36,4.15,4.44,3.98,4.35,4.21,3.52,4.93,3.97,Upgrade
EV/EBITDA Ratio,17.89,12.63,12.65,12.60,16.61,15.83,13.08,14.90,9.83,12.25,9.40,Upgrade
EV/EBIT Ratio,19.48,13.30,13.18,13.30,17.79,17.36,14.11,16.62,10.45,12.92,9.86,Upgrade
EV/FCF Ratio,-308.38,453.92,64.74,35.49,38.20,57.65,-481.91,18.26,17.60,17.84,13.95,Upgrade
Debt / Equity Ratio,2.59,2.08,2.08,2.03,2.46,2.26,1.99,2.06,2.15,1.64,0.52,Upgrade
Debt / EBITDA Ratio,16.25,8.52,7.07,7.75,10.87,11.26,8.00,7.59,5.09,4.18,1.46,Upgrade
Debt / FCF Ratio,-228.74,306.23,36.22,21.84,24.98,40.99,-294.66,9.30,9.11,6.09,2.16,Upgrade
Asset Turnover,0.21,0.24,0.25,0.25,0.24,0.24,0.24,0.26,0.33,0.40,0.49,Upgrade
Return on Equity (ROE),1.60%,9.60%,13.30%,12.40%,7.70%,5.90%,16.50%,9.70%,19.90%,19.00%,21.70%,Upgrade
Return on Assets (ROA),0.40%,2.90%,4.30%,3.50%,2.00%,1.80%,4.80%,2.70%,5.90%,8.00%,11.70%,Upgrade
Return on Capital (ROIC),2.70%,4.60%,5.70%,5.20%,3.90%,3.80%,5.30%,4.70%,8.20%,12.50%,17.30%,Upgrade
Earnings Yield,2.38%,8.90%,8.36%,8.26%,5.23%,5.94%,10.96%,4.76%,10.04%,6.08%,6.67%,Upgrade
FCF Yield,-1.68%,0.63%,3.37%,6.89%,7.00%,5.47%,-0.49%,10.58%,11.27%,8.39%,7.96%,Upgrade
Buyback Yield / Dilution,5.50%,12.01%,1.16%,-0.62%,-0.36%,0.89%,1.22%,4.17%,4.00%,0.89%,0.97%,Upgrade
Total Shareholder Return,5.50%,12.01%,1.16%,-0.62%,-0.36%,0.89%,1.22%,4.17%,4.00%,0.89%,0.97%,Upgrade
