Year,Current,2022
Market Capitalization,154,149
Enterprise Value,154,149
PE Ratio,-657.12,-657.12
PB Ratio,-32.46,-32.46
P/FCF Ratio,-278.76,-278.76
P/OCF Ratio,-278.76,-278.76
EV/EBITDA Ratio,1762.58,1704.99
EV/EBIT Ratio,1762.58,1704.99
EV/FCF Ratio,-278.83,-278.83
Debt / Equity Ratio,-0.03,-0.03
Debt / EBITDA Ratio,1.43,1.43
Debt / FCF Ratio,-0.23,-0.23
Current Ratio,0.39,0.39
Return on Equity (ROE),6.10%,6.10%
Return on Assets (ROA),-0.20%,-0.20%
Return on Capital (ROIC),0.10%,0.10%
Earnings Yield,-0.15%,-0.15%
FCF Yield,-0.35%,-0.36%
Buyback Yield / Dilution,22.85%,-
Total Shareholder Return,22.85%,-
