Year,Current,2022,2021
Market Capitalization,43,111,95
Market Cap Growth,-,17.05%,-
Enterprise Value,44,111,93
PE Ratio,250.40,250.40,-1489.13
PB Ratio,-74.43,-74.43,-110.61
P/FCF Ratio,-83.62,-83.62,-481.22
P/OCF Ratio,-83.62,-83.62,-481.22
EV/EBITDA Ratio,65.63,167.28,-1471.05
EV/EBIT Ratio,65.63,167.28,-1471.05
EV/FCF Ratio,-84.06,-84.06,-475.38
Debt / Equity Ratio,-0.40,-0.40,-0.30
Debt / EBITDA Ratio,0.89,0.89,-4.01
Debt / FCF Ratio,-0.45,-0.45,-1.30
Current Ratio,0.19,0.19,3.63
Return on Equity (ROE),-73.20%,-73.20%,-
Return on Assets (ROA),0.60%,0.60%,-
Return on Capital (ROIC),0.90%,0.90%,-
Earnings Yield,1.03%,0.40%,-0.07%
FCF Yield,-3.07%,-1.20%,-0.21%
Buyback Yield / Dilution,-360.48%,-360.48%,-
Total Shareholder Return,-360.48%,-360.48%,-
