Year,Current,2022,2021,2020,2019,2017,2016,2015,2014,2013
Market Capitalization,"3,035","2,832","3,126","2,819","1,140",176,320,534,-,-
Market Cap Growth,-,-9.41%,10.88%,147.41%,549.21%,-45.13%,-40.09%,-,-,-
Enterprise Value,"7,935","7,688","9,752","10,321","13,177",-434,-239,-29,-60,61
PE Ratio,10.40,3.07,2.20,9.34,4.19,22.41,1.74,-6.71,-,-
PS Ratio,1.72,1.15,0.94,1.05,0.59,22.25,59.28,89.00,-,-
PB Ratio,0.75,0.70,0.93,1.13,0.51,1.88,1.65,54.61,-,-
P/FCF Ratio,1.00,0.76,1.21,10.29,1.76,-27.35,-48.94,-37.66,-,-
P/OCF Ratio,1.00,0.75,1.19,8.52,1.62,-27.35,-48.94,-37.66,-,-
EV/Sales Ratio,4.56,3.12,2.94,3.84,6.84,-55.05,-44.32,-4.85,-7.02,6.04
EV/EBITDA Ratio,9.38,4.59,3.96,10.33,20.95,-15.70,-1.17,0.50,-2.37,4.03
EV/EBIT Ratio,9.78,4.69,4.06,11.15,24.45,-15.70,-1.17,0.50,-2.37,4.03
EV/FCF Ratio,2.66,2.05,3.76,37.67,20.30,67.68,36.58,2.05,1.79,-2.54
Debt / Equity Ratio,1.41,1.37,2.28,3.33,5.67,-,0.10,2.25,0.36,1.64
Debt / EBITDA Ratio,6.63,3.32,3.12,8.34,20.11,-,0.09,-0.38,1.25,7.00
Debt / FCF Ratio,1.88,1.48,2.96,30.41,19.49,-,-2.90,-1.55,-0.94,-4.40
Asset Turnover,0.14,0.19,0.16,0.13,0.11,0.01,0.01,0.01,0.04,0.04
Return on Equity (ROE),7.50%,22.80%,44.00%,13.30%,14.60%,4.50%,187.30%,-274.50%,-7.00%,0.60%
Return on Assets (ROA),2.40%,7.00%,6.80%,1.50%,1.50%,1.10%,26.80%,-11.20%,-3.00%,0.10%
Return on Capital (ROIC),4.50%,8.70%,7.90%,3.10%,1.80%,26.90%,160.20%,-42.40%,11.40%,4.10%
Earnings Yield,10.09%,32.59%,45.36%,10.71%,23.87%,4.46%,57.43%,-14.90%,-,-
FCF Yield,99.63%,132.43%,82.89%,9.72%,56.95%,-3.66%,-2.04%,-2.66%,-,-
Buyback Yield / Dilution,6.11%,6.07%,17.31%,0.26%,-439.52%,9.66%,-16.68%,-0.44%,-0.28%,-
Total Shareholder Return,6.11%,6.07%,17.31%,0.26%,-439.52%,9.66%,-16.68%,-0.44%,-0.28%,-
