Year,Current,2022
Market Capitalization,444,433
Enterprise Value,444,432
PE Ratio,27.84,29.19
PB Ratio,-30.44,-30.44
P/FCF Ratio,-984.45,-984.45
P/OCF Ratio,-984.45,-984.45
EV/EBITDA Ratio,29.96,29.17
EV/EBIT Ratio,29.96,29.17
EV/FCF Ratio,-983.83,-983.83
Current Ratio,1.86,1.86
Return on Equity (ROE),-94.90%,-94.90%
Return on Assets (ROA),4.30%,4.30%
Return on Capital (ROIC),4.30%,4.30%
Earnings Yield,3.34%,3.43%
FCF Yield,-0.10%,-0.10%
Buyback Yield / Dilution,-148.18%,-
Total Shareholder Return,-148.18%,-
