Year,Current,2022,2021
Market Capitalization,508,492,487
Market Cap Growth,-,1.08%,-
Enterprise Value,507,492,486
PE Ratio,27.43,29.37,-395.05
PB Ratio,-35.46,-34.08,-16.47
P/FCF Ratio,-292.76,-531.61,-2104.52
P/OCF Ratio,-292.76,-531.61,-2104.52
EV/EBITDA Ratio,26.44,28.63,-394.21
EV/EBIT Ratio,26.44,28.63,-394.21
EV/FCF Ratio,-292.72,-531.51,-2100.02
Current Ratio,0.16,0.13,2.73
Return on Equity (ROE),-108.20%,-83.20%,25.20%
Return on Assets (ROA),4.50%,4.20%,-0.40%
Return on Capital (ROIC),4.80%,4.30%,-0.40%
Earnings Yield,3.56%,3.41%,-0.25%
FCF Yield,-0.34%,-0.19%,-0.05%
Buyback Yield / Dilution,-36.14%,-,
Total Shareholder Return,-36.14%,-,
