Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2001
Market Capitalization,"132,123","128,591","148,158","100,133","116,097","105,829","116,084","90,185","81,961","102,557","97,095",Upgrade
Market Cap Growth,-,-13.21%,47.96%,-13.75%,9.70%,-8.83%,28.72%,10.03%,-20.08%,5.62%,18.37%,Upgrade
Enterprise Value,"21,107","18,076","15,886","1,342","88,045","73,854","88,684","75,152","71,016","96,780","90,206",Upgrade
PE Ratio,12.14,11.24,11.46,11.47,11.83,11.18,13.10,11.63,10.81,12.95,12.30,Upgrade
PS Ratio,3.48,3.62,3.70,2.78,3.31,3.26,3.68,3.12,3.04,3.38,3.31,Upgrade
PB Ratio,1.65,1.64,1.86,1.51,1.82,1.74,2.03,1.70,1.73,2.19,2.13,Upgrade
P/FCF Ratio,6.16,9.13,3.12,0.96,12.67,8.95,4.12,4.73,4.70,8.27,16.47,Upgrade
P/OCF Ratio,5.65,8.09,3.01,0.94,10.66,7.93,3.97,4.51,4.44,7.60,14.31,Upgrade
EV/Sales Ratio,0.55,0.51,0.40,0.04,2.51,2.27,2.81,2.60,2.63,3.19,3.07,Upgrade
EV/EBITDA Ratio,1.33,1.17,0.90,0.11,6.98,5.94,7.51,7.30,7.12,8.99,8.72,Upgrade
EV/EBIT Ratio,1.41,1.24,0.96,0.12,7.25,6.15,7.82,7.61,7.42,9.37,9.10,Upgrade
EV/FCF Ratio,0.98,1.28,0.33,0.01,9.61,6.24,3.15,3.94,4.08,7.81,15.31,Upgrade
Debt / Equity Ratio,0.29,0.26,0.30,0.33,0.33,0.31,0.35,0.32,0.33,0.37,0.36,Upgrade
Debt / EBITDA Ratio,1.44,1.31,1.35,1.81,1.69,1.52,1.69,1.64,1.60,1.59,1.61,Upgrade
Debt / FCF Ratio,1.07,1.43,0.50,0.21,2.32,1.60,0.71,0.88,0.91,1.39,2.83,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,Upgrade
Return on Equity (ROE),14.10%,15.10%,17.00%,13.40%,15.70%,16.20%,15.70%,15.00%,16.90%,17.40%,18.00%,Upgrade
Return on Assets (ROA),0.80%,0.90%,1.00%,0.70%,0.90%,1.00%,1.00%,0.90%,0.90%,1.00%,1.00%,Upgrade
Return on Capital (ROIC),1.20%,1.20%,1.40%,1.00%,1.20%,1.30%,1.30%,1.20%,1.20%,1.30%,1.20%,Upgrade
Earnings Yield,8.41%,8.90%,8.73%,8.72%,8.46%,8.94%,7.63%,8.60%,9.25%,7.72%,8.13%,Upgrade
FCF Yield,16.22%,10.96%,32.04%,103.82%,7.89%,11.18%,24.28%,21.15%,21.26%,12.09%,6.07%,Upgrade
Dividend Yield,4.05%,4.47%,3.31%,6.56%,3.82%,4.02%,3.44%,3.90%,4.30%,3.62%,3.69%,Upgrade
Payout Ratio,53.00%,51.50%,38.50%,76.70%,45.90%,45.70%,45.60%,48.00%,47.40%,48.00%,46.80%,Upgrade
Buyback Yield / Dilution,2.78%,2.38%,0.43%,0.60%,0.93%,2.19%,-2.91%,-0.08%,-0.08%,0.30%,-0.48%,Upgrade
Total Shareholder Return,6.82%,6.84%,3.75%,7.16%,4.75%,6.21%,0.53%,3.81%,4.22%,3.91%,3.21%,Upgrade
