Year,Current,2022
Market Capitalization,110,101
Enterprise Value,110,101
PE Ratio,361.33,-1185.35
PB Ratio,-32.75,-45.21
P/FCF Ratio,-153.76,-380.65
P/OCF Ratio,-153.76,-380.65
EV/EBITDA Ratio,532.13,-1180.50
EV/EBIT Ratio,532.13,-1180.50
EV/FCF Ratio,-154.19,-379.10
Debt / Equity Ratio,-0.13,-0.03
Debt / EBITDA Ratio,2.07,-0.82
Debt / FCF Ratio,-0.63,-0.26
Current Ratio,0.29,4.89
Return on Equity (ROE),-8.30%,5.30%
Return on Assets (ROA),0.30%,-0.10%
Return on Capital (ROIC),0.30%,-0.10%
Earnings Yield,0.19%,-0.08%
FCF Yield,-0.62%,-0.26%
Buyback Yield / Dilution,-144.29%,-
Total Shareholder Return,-144.29%,-
