Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,"1,485",957,"1,317",909,991,908,"1,573","1,229","1,414","1,507","1,925",Upgrade
Market Cap Growth,-,-27.32%,44.76%,-8.25%,9.19%,-42.29%,28.03%,-13.13%,-6.17%,-21.70%,-,Upgrade
Enterprise Value,"1,413",866,185,-678,-549,308,"1,561","1,126","1,500","1,144","1,756",Upgrade
PE Ratio,-27.97,-2.37,29.52,6.34,4.94,-2.86,5.66,44.46,-16.19,29.91,8.47,Upgrade
PS Ratio,0.65,0.45,0.60,1.02,1.01,2.45,1.68,1.78,2.46,2.84,4.02,Upgrade
PB Ratio,0.70,0.46,0.53,0.58,0.70,0.75,0.95,0.87,1.02,1.04,1.38,Upgrade
P/FCF Ratio,4.05,3.26,822.84,12.41,7.02,67.81,-20.03,257.54,7.53,12.31,97.67,Upgrade
P/OCF Ratio,4.05,3.26,822.84,12.41,7.02,67.81,-20.03,257.54,7.53,12.31,97.67,Upgrade
EV/Sales Ratio,0.58,0.41,0.08,-0.76,-0.56,0.83,1.66,1.63,2.61,2.16,3.67,Upgrade
EV/EBITDA Ratio,1009.27,-2.33,1.98,-4.24,-2.62,-0.98,5.24,27.16,-18.06,20.41,7.72,Upgrade
EV/EBIT Ratio,-99.53,-2.25,2.27,-4.24,-2.62,-0.98,5.24,27.16,-18.06,20.41,7.72,Upgrade
EV/FCF Ratio,3.65,2.95,115.52,-9.25,-3.89,23.04,-19.88,236.02,7.99,9.34,89.09,Upgrade
Debt / Equity Ratio,0.37,0.40,0.33,0.08,0.08,0.09,0.32,0.15,0.32,0.06,0.04,Upgrade
Debt / EBITDA Ratio,584.93,-2.22,8.74,0.79,0.54,-0.36,1.80,4.97,-5.26,1.47,0.25,Upgrade
Debt / FCF Ratio,2.11,2.81,510.44,1.72,0.81,8.51,-6.85,43.22,2.33,0.67,2.84,Upgrade
Asset Turnover,0.22,0.19,0.21,0.26,0.28,0.09,0.22,0.17,0.16,0.20,0.27,Upgrade
Return on Equity (ROE),-2.20%,-18.60%,1.70%,10.30%,14.50%,-21.50%,17.60%,2.00%,-6.10%,3.50%,20.10%,Upgrade
Return on Assets (ROA),-0.40%,-3.70%,0.40%,4.10%,5.80%,-7.90%,6.50%,0.70%,-2.50%,1.90%,12.80%,Upgrade
Return on Capital (ROIC),-0.10%,-3.70%,0.90%,7.80%,8.70%,-8.40%,6.90%,1.00%,-2.50%,2.30%,13.10%,Upgrade
Earnings Yield,-3.01%,-42.10%,3.39%,15.78%,20.24%,-35.00%,17.66%,2.25%,-6.18%,3.34%,11.81%,Upgrade
FCF Yield,24.70%,30.65%,0.12%,8.06%,14.24%,1.47%,-4.99%,0.39%,13.28%,8.12%,1.02%,Upgrade
Buyback Yield / Dilution,-2.67%,-6.71%,-61.53%,-0.33%,4.54%,7.77%,0.32%,-1.50%,2.24%,-19.58%,-13.20%,Upgrade
Total Shareholder Return,-2.67%,-6.71%,-61.53%,-0.33%,4.54%,7.77%,0.32%,-1.50%,2.24%,-19.58%,-13.20%,Upgrade
