Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,266,280,373,290,301,333,374,298,195,148,167,Upgrade
Market Cap Growth,-,-25.05%,28.97%,-3.70%,-9.80%,-10.94%,25.58%,52.60%,32.06%,-11.64%,35.23%,Upgrade
Enterprise Value,243,251,342,279,279,315,354,270,174,132,144,Upgrade
PE Ratio,14.08,11.71,5.57,7.35,9.56,15.23,14.56,15.27,15.58,15.33,11.38,Upgrade
PS Ratio,1.00,0.99,1.13,1.23,1.64,2.13,2.32,2.15,1.54,1.20,1.33,Upgrade
PB Ratio,1.10,1.16,1.63,1.45,1.57,1.90,2.11,1.92,1.37,1.08,1.31,Upgrade
P/FCF Ratio,17.81,9.16,7.16,9.35,15.24,14.76,21.94,14.75,13.71,19.23,12.04,Upgrade
P/OCF Ratio,12.22,7.73,7.19,8.49,14.38,13.67,18.82,13.21,11.55,15.27,10.94,Upgrade
EV/Sales Ratio,0.91,0.89,1.04,1.18,1.52,2.01,2.19,1.95,1.36,1.07,1.14,Upgrade
EV/EBITDA Ratio,9.25,7.76,3.93,5.44,6.72,10.94,11.17,9.17,9.20,9.24,6.35,Upgrade
EV/EBIT Ratio,10.18,8.35,4.02,5.63,7.01,11.61,11.69,9.60,9.77,9.81,6.70,Upgrade
EV/FCF Ratio,16.29,8.23,6.55,9.02,14.15,13.93,20.75,13.37,12.18,17.17,10.34,Upgrade
Debt / Equity Ratio,0.03,0.03,0.02,0.02,0.02,-,-,-,-,-,-,Upgrade
Debt / EBITDA Ratio,0.26,0.21,0.06,0.07,0.11,-,-,-,-,-,-,Upgrade
Debt / FCF Ratio,0.46,0.22,0.10,0.12,0.23,-,-,-,-,-,-,Upgrade
Asset Turnover,0.80,0.86,1.03,0.85,0.71,0.62,0.66,0.64,0.63,0.64,0.69,Upgrade
Return on Equity (ROE),7.90%,10.10%,29.20%,19.80%,16.60%,11.90%,15.20%,13.00%,9.00%,7.20%,11.80%,Upgrade
Return on Assets (ROA),5.70%,7.20%,21.00%,14.20%,12.10%,8.70%,10.60%,8.90%,6.20%,5.00%,8.00%,Upgrade
Return on Capital (ROIC),8.40%,10.60%,30.60%,20.40%,17.90%,12.60%,14.80%,14.80%,9.70%,7.80%,13.40%,Upgrade
Earnings Yield,7.11%,8.54%,17.95%,13.61%,10.46%,6.57%,6.87%,6.55%,6.42%,6.52%,8.79%,Upgrade
FCF Yield,5.61%,10.91%,13.96%,10.70%,6.56%,6.78%,4.56%,6.78%,7.30%,5.20%,8.31%,Upgrade
Dividend Yield,3.45%,3.28%,10.08%,10.98%,6.05%,6.94%,1.90%,0.46%,0.41%,0.44%,0.40%,Upgrade
Payout Ratio,48.60%,38.40%,56.00%,80.40%,57.60%,105.20%,27.50%,7.00%,6.30%,6.70%,4.50%,Upgrade
Buyback Yield / Dilution,0.32%,0.11%,-0.21%,-0.21%,0.05%,-0.05%,0.99%,3.76%,2.34%,1.88%,1.90%,Upgrade
Total Shareholder Return,3.77%,3.39%,9.87%,10.76%,6.11%,6.89%,2.89%,4.22%,2.75%,2.32%,2.29%,Upgrade
