Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2007
Market Capitalization,"36,799","37,194","50,514","37,015","21,870","12,979","11,397","7,415","7,406","5,315","5,177",Upgrade
Market Cap Growth,-,-26.37%,36.47%,69.25%,68.50%,13.87%,53.70%,0.12%,39.35%,2.67%,36.81%,Upgrade
Enterprise Value,"40,148","40,844","53,404","39,234","23,599","14,650","12,586","8,698","8,208","5,594","5,626",Upgrade
PE Ratio,41.89,42.72,69.58,61.51,38.80,25.55,37.49,28.43,33.12,18.71,23.26,Upgrade
PS Ratio,16.04,16.54,24.72,21.83,14.04,9.05,8.95,6.44,6.89,5.33,5.67,Upgrade
PB Ratio,-49.65,-36.90,-309.02,-83.51,-285.08,-77.95,28.42,23.35,8.22,3.71,3.31,Upgrade
P/FCF Ratio,35.31,36.38,57.19,48.70,33.35,23.02,32.07,18.55,27.21,20.86,18.64,Upgrade
P/OCF Ratio,32.80,33.96,53.96,45.64,30.82,21.18,28.20,16.76,23.05,17.39,16.12,Upgrade
EV/Sales Ratio,17.60,18.16,26.13,23.14,15.15,10.22,9.88,7.56,7.63,5.61,6.16,Upgrade
EV/EBITDA Ratio,28.84,30.08,46.36,41.15,27.66,17.26,18.98,15.29,16.98,11.19,12.72,Upgrade
EV/EBIT Ratio,32.16,33.61,52.47,46.57,31.41,19.20,21.59,17.84,20.24,13.15,15.55,Upgrade
EV/FCF Ratio,38.75,39.95,60.46,51.61,35.99,25.98,35.42,21.76,30.16,21.95,20.26,Upgrade
Debt / Equity Ratio,-5.15,-4.61,-26.38,-7.94,-42.18,-15.47,5.18,6.53,1.75,0.55,0.52,Upgrade
Debt / EBITDA Ratio,3.33,3.42,3.74,3.69,3.79,3.04,3.13,3.65,3.27,1.58,1.83,Upgrade
Debt / FCF Ratio,4.48,4.54,4.88,4.63,4.93,4.57,5.85,5.19,5.80,3.09,2.91,Upgrade
Current Ratio,1.50,1.40,1.71,1.89,2.31,1.77,2.09,1.97,2.13,1.63,1.24,Upgrade
Asset Turnover,0.46,0.47,0.41,0.41,0.43,0.40,0.41,0.38,0.35,0.33,0.30,Upgrade
Return on Equity (ROE),-87.80%,-87.30%,-224.60%,-161.00%,-291.70%,207.40%,90.20%,51.70%,18.20%,18.80%,14.50%,Upgrade
Return on Assets (ROA),17.90%,18.00%,14.50%,14.70%,15.70%,14.20%,9.70%,8.70%,7.30%,9.50%,7.20%,Upgrade
Return on Capital (ROIC),26.80%,26.50%,24.70%,23.20%,25.80%,32.50%,29.40%,27.90%,36.00%,52.50%,53.40%,Upgrade
Earnings Yield,2.41%,2.34%,1.44%,1.63%,2.58%,3.91%,2.67%,3.52%,3.02%,5.35%,4.30%,Upgrade
FCF Yield,2.83%,2.75%,1.75%,2.05%,3.00%,4.34%,3.12%,5.39%,3.67%,4.79%,5.36%,Upgrade
Dividend Yield,1.15%,1.00%,0.60%,0.67%,0.99%,1.33%,1.06%,1.30%,1.19%,0.40%,-,Upgrade
Payout Ratio,44.90%,42.50%,41.40%,40.60%,37.80%,32.90%,39.30%,36.80%,39.00%,7.30%,0.00%,Upgrade
Buyback Yield / Dilution,2.19%,2.71%,1.23%,1.19%,4.64%,2.41%,4.79%,12.18%,5.81%,3.61%,1.73%,Upgrade
Total Shareholder Return,3.34%,3.71%,1.83%,1.86%,5.63%,3.73%,5.86%,13.48%,7.00%,4.00%,1.73%,Upgrade
